DATA,,,,17.5,,,22.5,,,24.5,,,
Job,StockCode,CustomerName,JobDeliveryDate,Steel,Machine,Polish,Steel,Machine,Polish,Steel,Machine,Polish,
10014388,27DT2X V2018-102-24780,REMORQUE LEWIS,"Tuesday, August 31, 2021",,,,,,,,,,
10014521,53ET4X MR-102-25168,REMORQUE LEWIS,"Tuesday, April 6, 2021",,,,,,,,,,
10014527,27DT2X V2018-102-24844,REMORQUE LEWIS,"Monday, August 23, 2021",,,,,,,,,,
10014528,27DT2X V2018-102-24841,REMORQUE LEWIS,"Monday, April 5, 2021",,,,,,,,,,
10014545,32DT3X V2018-102-24848,REMORQUE LEWIS,"Wednesday, October 20, 2021",,,,,,,,,,
10014546,32DT3X V2018-102-24847,REMORQUE LEWIS,"Friday, October 22, 2021",,,,,,,,,,
10014547,20NTT-102-24960,REMORQUE LEWIS,"Tuesday, April 13, 2021",,,,,,,,,,
10014549,25NTT-102-25171,REMORQUE LEWIS,"Thursday, April 8, 2021",,,,,,,,,,
10014550,25NTT-102-25172,REMORQUE LEWIS,"Monday, April 12, 2021",,,,,,,,,,
10014585,48LB4X A-102-25289,BWS MANUFACTURING LTD.,"Thursday, May 27, 2021",,,,,,,,,,
10014615,35MD2X53-102-25250,REMORQUE LEWIS,"Friday, October 8, 2021",,,,,,,,,,
10014617,20NTT-102-25333,HALE TRAILER BRAKE & WHEEL INC,"Wednesday, April 21, 2021",,,,,,,,,,
10014620,53ET3X-118-25297,DIAMOND INTERNATIONAL TRUCKS L,"Tuesday, May 4, 2021",,,,,,,,,,
10014646,20NTT-102-25377,REMORQUE LEWIS,"Monday, July 19, 2021",,,,,,,,,,
10014657,53ET3XP-102-25347,TRANSIT TRAILER LIMITED,"Tuesday, July 20, 2021",,,,,,,,,,
10014658,53ET3XP-102-25360,TRANSIT TRAILER LIMITED,"Wednesday, July 21, 2021",,,,,,,,,,
10014661,25NTT-102-25380,REMORQUE LEWIS,"Thursday, July 22, 2021",,,,,,,,,,
10014664,25NTT-102-25248,REMORQUE LEWIS,"Friday, July 23, 2021",,,,,,,,,,
10014665,25NTT-102-25249,REMORQUE LEWIS,"Saturday, July 24, 2021",,,,,,,,,,
10014666,25NTT-102-25381,REMORQUE LEWIS,"Sunday, July 25, 2021",,,,,,,,,,
10014667,27DT2X V2018-102-24842,REMORQUE LEWIS,"Monday, July 26, 2021",,,,,,,,,,
10014668,27DT2X V2018-102-24843,REMORQUE LEWIS,"Tuesday, July 27, 2021",,,,,,,,,,
10014678,53ET3XP-102-25219,TRANSIT TRAILER LIMITED,"Wednesday, July 28, 2021",,,,,,,,,,
10014687,27DT2X V2018-102-24838,REMORQUE LEWIS,"Thursday, July 29, 2021",,,,,,,,,,
10014688,27DT2X V2018-102-24839,REMORQUE LEWIS,"Friday, July 30, 2021",,,,,,,,,,
10014690,53HF4X-102-25245,REMORQUE LEWIS,"Saturday, July 31, 2021",,,,,,,,,,
10014691,53HF4X-102-25304,REMORQUE LEWIS,"Sunday, August 1, 2021",,,,,,,,,,
10014702,20NTT-102-25448,HALE TRAILER BRAKE & WHEEL INC,"Monday, August 2, 2021",,,,,,,,,,
10014703,20NTT-102-25449,HALE TRAILER BRAKE & WHEEL INC,"Tuesday, August 3, 2021",,,,,,,,,,
10014711,55HDG3X E-102-25413,REMORQUE LEWIS,"Wednesday, August 4, 2021",,,,,,,,,,
10014726,40ADG3X53 AGNR-102-25476,REMORQUE LEWIS,"Thursday, August 5, 2021",,,,,,,,,,
10014728,25NTT-102-25306,REMORQUE LEWIS,"Friday, August 6, 2021",,,,,,,,,,
10014729,25NTT-102-25533,REMORQUE LEWIS,"Saturday, August 7, 2021",,,,,,,,,,
10014730,25ART-102-25597,WIELAND SALES INC.,"Sunday, August 8, 2021",,,,,,,,,,
10014732,53ET3XP-102-25423,TRANSIT TRAILER LIMITED,"Monday, August 9, 2021",,,,,,,,,,
10014733,53ET3XP-102-25424,TRANSIT TRAILER LIMITED,"Tuesday, August 10, 2021",,,,,,,,,,
10014734,53ET3XP-102-25425,TRANSIT TRAILER LIMITED,"Wednesday, August 11, 2021",,,,,,,,,,
10014736,30NTT-102-25174,REMORQUE LEWIS,"Thursday, August 12, 2021",,,,,,,,,,
10014739,51LF4X5T NB TRI 2016-108-25487,NORTHEAST TRUCK & TRAILER,"Friday, August 13, 2021",,,,,,,,,,
10014741,25NTT-102-25536,REMORQUE LEWIS,"Saturday, August 14, 2021",,,,,,,,,,
10014742,25NTT-102-25588,REMORQUE LEWIS,"Sunday, August 15, 2021",,,,,,,,,,
10014743,25NTT-102-25535,REMORQUE LEWIS,"Monday, August 16, 2021",,,,,,,,,,
10014744,25ART-102-25495,WEACO EQUIPMENT,"Tuesday, August 17, 2021",,,,,,,,,,
10014745,30NTT-102-25528,HALE TRAILER BRAKE & WHEEL INC,"Wednesday, August 18, 2021",,,,,,,,,,
10014746,30NTT-102-25532,HALE TRAILER BRAKE & WHEEL INC,"Thursday, August 19, 2021",,,,,,,,,,
10014747,30ANR-102-25525,HALE TRAILER BRAKE & WHEEL INC,"Friday, August 20, 2021",,,,,,,,,,
10014748,30ANR-102-25527,HALE TRAILER BRAKE & WHEEL INC,"Saturday, August 21, 2021",,,,,,,,,,
10014749,25ANR-102-25496,WEACO EQUIPMENT,"Sunday, August 22, 2021",,,,,,,,,,
10014750,25ANR-102-25563,WEACO EQUIPMENT,"Monday, August 23, 2021",,,,,,,,,,
10014751,25ANR-102-25564,WEACO EQUIPMENT,"Tuesday, August 24, 2021",,,,,,,,,,
10014752,25NTT-102-25534,REMORQUE LEWIS,"Wednesday, August 25, 2021",,,,,,,,,,
10014753,25NTT-102-25582,REMORQUE LEWIS,"Thursday, August 26, 2021",,,,,,,,,,
10014760,20ANR-102-25497,WEACO EQUIPMENT,"Friday, August 27, 2021",,,,,,,,,,
10014761,20ANR-102-25562,WEACO EQUIPMENT,"Saturday, August 28, 2021",,,,,,,,,,
10014766,53ET3XP-118-25344,REMORQUE LEWIS,"Sunday, August 29, 2021",,,,,,,,,,
10014767,53ET4XP-102-25359,TRANSIT TRAILER LIMITED,"Monday, August 30, 2021",,,,,,,,,,
10014772,55HDG3X E V2020-102-25603,NORTHEAST TRUCK & TRAILER,"Tuesday, August 31, 2021",,,,,,,,,,
10014773,55HDG3X E V2020-102-25650,NORTHEAST TRUCK & TRAILER,"Wednesday, September 1, 2021",,,,,,,,,,
10014774,55HDG3X-102-25591,NORTHEAST TRUCK & TRAILER,"Thursday, September 2, 2021",,,,,,,,,,
10014775,46LD3X4T V2018-102-25491,NORTHEAST TRUCK & TRAILER,"Friday, September 3, 2021",,,,,,,,,,
10014776,51LF4X5T V2018-108-25546,NORTHEAST TRUCK & TRAILER,"Saturday, September 4, 2021",,,,,,,,,,
10014777,51LF4X5T V2018-108-25550,NORTHEAST TRUCK & TRAILER,"Sunday, September 5, 2021",,,,,,,,,,
10014778,51LF4X5T V2018-108-25586,NORTHEAST TRUCK & TRAILER,"Monday, September 6, 2021",,,,,,,,,,
10014779,51LF4X5T NB TRI 2016-108-25587,NORTHEAST TRUCK & TRAILER,"Tuesday, September 7, 2021",,,,,,,,,,
10014780,51LF4X5T NB TRI 2016-108-25502,NORTHEAST TRUCK & TRAILER,"Wednesday, September 8, 2021",,,,,,,,,,
10014781,25ANR-102-25636,REMORQUE LEWIS,"Thursday, September 9, 2021",,,,,,,,,,
10014785,53HD3X 2018-102-24909,DIAMOND INTERNATIONAL TRUCKS L,"Friday, September 10, 2021",,,,,,,,,,
10014794,20ANR-102-25710,NORTHEAST TRUCK & TRAILER,"Saturday, September 11, 2021",,,,,,,,,,
10014797,30ART-102-25685,NORTHEAST TRUCK & TRAILER,"Sunday, September 12, 2021",,,,,,,,,,
10014803,46LF3X4T V2018-108-25639,NORTHEAST TRUCK & TRAILER,"Monday, September 13, 2021",,,,,,,,,,
10014804,46LF3X4T V2018-108-25649,NORTHEAST TRUCK & TRAILER,"Tuesday, September 14, 2021",,,,,,,,,,
10014805,27LBT2X W-120-25500,DIAMOND INTERNATIONAL TRUCKS L,"Wednesday, September 15, 2021",,,,,,,,,,
10014806,37LBT3X W-120-25499,DIAMOND INTERNATIONAL TRUCKS L,"Thursday, September 16, 2021",,,,,,,,,,
10014807,55HDG3X-108-25592,NORTHEAST TRUCK & TRAILER,"Friday, September 17, 2021",,,,,,,,,,
10014828,53ET3X-118-25652,DIAMOND INTERNATIONAL TRUCKS L,"Saturday, September 18, 2021",,,,,,,,,,
10014832,53ET3XP-118-25558,DIAMOND INTERNATIONAL TRUCKS L,"Sunday, September 19, 2021",,,,,,,,,,
10014833,53ET3XP-118-25645,DIAMOND INTERNATIONAL TRUCKS L,"Monday, September 20, 2021",,,,,,,,,,
10014840,51LF4X3T AB V2015-120-24908,DIAMOND INTERNATIONAL TRUCKS L,"Tuesday, September 21, 2021",,,,,,,,,,
10014841,51LF4X3T AB V2015-120-25778,DIAMOND INTERNATIONAL TRUCKS L,"Wednesday, September 22, 2021",,,,,,,,,,
10014842,51LF4X3T AB V2015-120-25779,DIAMOND INTERNATIONAL TRUCKS L,"Thursday, September 23, 2021",,,,,,,,,,
10014843,51LF3X3T AB V2016-120-25780,DIAMOND INTERNATIONAL TRUCKS L,"Friday, September 24, 2021",,,,,,,,,,
10014844,51LF3X3T AB V2016-120-25781,DIAMOND INTERNATIONAL TRUCKS L,"Saturday, September 25, 2021",,,,,,,,,,
10014845,51LF3X3T AB V2016-120-25782,DIAMOND INTERNATIONAL TRUCKS L,"Sunday, September 26, 2021",,,,,,,,,,
10014846,51LF3X3T AB V2016-120-25783,DIAMOND INTERNATIONAL TRUCKS L,"Monday, September 27, 2021",,,,,,,,,,
10014847,51LF3X3T AB V2016-120-25784,DIAMOND INTERNATIONAL TRUCKS L,"Tuesday, September 28, 2021",,,,,,,,,,
