Job,JobDescription,JobClassification,JobType,MasterJob,Priority,StockCode,StockDescription,Warehouse,Customer,CustomerName,JobTenderDate,JobDeliveryDate,JobStartDate,ActCompleteDate,Complete,SeqCheckReq,DateCalcMethod,ExpLabour,ExpMaterial,QtyToMake,QtyManufactured,Source,EstSourceNum,NextDetailLine,PctCompleteFlag,PrtFactDoc1,PrtFactDoc2,PrtFactDoc3,PrtFactDoc4,SellingPrice,AddLabPct,AddMatPct,ProfitPct,SalesOrder,MaterialBilled,LabourBilled,NextOpForAll,HighestOpPosted,TotalQtyScrapped,ConfirmedFlag,HoldFlag,JobCreatedStruc,LstOrderCreated,TraceableType,NxtLinePartBook,Route,WipCtlGlCode,Decimals,SalesOrderLine,MatCostToDate1,MatCostToDate2,MatCostToDate3,LabCostToDate1,LabCostToDate2,LabCostToDate3,HrsBookToDate1,HrsBookToDate2,HrsBookToDate3,MatValueIssues1,MatValueIssues2,MatValueIssues3,LabValueIssues1,LabValueIssues2,LabValueIssues3,NarrationNum,ReqPlnFlag,DateJobLstUpd,TimeJobLstUpd,HierarchyFlag,NextLineHier,EstTrailLoad,OrdEntSource,Version,Release,AllocationLine,PurgeJob,HierarchyJob,MrpFromJob,MrpToJob,OrigDueDate,GrossFlg,GrossQty,ExpLabCurrent,ExpMatCurrent,ReservedLotSerFlag,NotionalPart,CoProductCostMet,CoProductCostVal,CoProductType,CapexCode,CapexLine,UomFlag,ConvFactUom,ConvMulDiv,ScheduleFlag,SchStartDate,SchStartTime,SchEndDate,SchEndTime,QtyToMakeEnt,QtyManufacturedEnt,TotQtyScrappedEnt,GrossQtyEnt,ProductCode,LibraryCode,TimeStamp,NestAllocs,CreatedForNest
10014560,8725TT-ART-CAN,TRA, , ,50,25ART-102-25209,25 TON - 3 AXLE - 17.5 - 49IN,3,2730,HALE TRAILER BRAKE & WHEEL INC,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6314.75,23809.92841,1,1,O, ,269,0,Y,N,N,N,39489.759,0,0,0,512795,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,24378.27,24378.27,0,6533.8,6533.8,0,100.52,100.52,0,24378.27,24378.27,0,6533.8,6533.8,0,0, ,00:00.0,1552, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6314.75,23809.92841, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011BBBEC5C, , 
10014596,8753ET4X MR,TRA, , ,50,53ET4X MR-102-25252,53 FT - 4 AXLE - 22.5 - 72-100 IN,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,11729.25,53494.91834,1,1,O, ,315,0,Y,N,N,N,69726,0,0,0,512845,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,47075.65,27033.15,0,11681.15,6034.6,0,179.71,92.84,0,47075.65,0,0,11681.15,0,0,0, ,00:00.0,1409, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,11729.25,53494.91834, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D7BDDCF, , 
10014684,8735MD2X EXT V2018,TRA, , ,50,35MD2X EXT-102-25179,35 TON - 2 AXLE - 22.5 - 49 IN,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,19587.75,53696.63548,1,1,O, ,495,0,Y,N,N,N,88219,0,0,0,512955,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,60432.08,40140.47,0,21821.8,13713.05,0,335.72,210.97,0,60432.08,0,0,21821.8,0,0,0, ,00:00.0,1117, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,19587.75,53696.63548, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D7B63C7, , 
10014602,8725TT-ART-CAN,TRA, , ,50,25ART-102-25316,25 TON - 3 AXLE - 17.5 - 49 IN,3,3234,THE MCLEAN COMPANY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,8199.75,26718.8398,1,1,O, ,245,0,Y,N,N,N,43173.12,0,0,0,512855,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,27546.02,27546.02,0,8529.95,8529.95,0,131.23,131.23,0,27546.02,27546.02,0,8529.95,8529.95,0,0, ,00:00.0,1336, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,8199.75,26718.8398, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011BBBEC86, , 
10014528,8727DT2X V2019,TRA, , ,50,27DT2X V2018-102-24841,TRAILER 27' DUMP U-BODY 2019,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,8391.5,44498.15475,1,1,O, ,290,0,Y,N,N,N,60876,0,0,0,512763,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,45709.3,40497.01,0,7456.8,6139.25,0,114.72,94.45,0,45709.3,0,0,7456.8,0,0,0, ,00:00.0,1630, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,8391.5,44498.15475, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D34995A, , 
10014465,8753VT962X-STAN,TRA, , ,50,53VT2V DCI-96-25146,TRAILER 53' 2X VAN CONTAINER,3,2711,DEMOUNTABLE CONCEPTS INC.,00:00.0,00:00.0,00:00.0,NULL,N,N,S,6669,22679.632,1,0,O, ,231,0,Y,N,N,N,35763.135,0,0,0,512694,0,0,15,13,0,Y,N,Y, ,N,0,0,1200,0,1,22357.69,14207.01,0,7005.05,4847.05,0,107.77,74.57,0,0,0,0,0,0,0,0, ,00:00.0,1610, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6669,22679.632, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,0,0,1, ,     ,0x000000011E4184AA, , 
10014548,8725TT-NO-TILT,TRA, , ,50,25NTT-102-25170,"TRAILER 25 TON ""NTT"" STAND",3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6331,18483.08701,1,1,O, ,169,0,Y,N,N,N,28748,0,0,0,512783,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,20460.6,18114.93,0,6348.55,3904.55,0,97.67,60.07,0,20460.6,0,0,6348.55,0,0,0, ,00:00.0,729, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6331,18483.08701, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011C9428D3, , 
10014600,8721TT-ART-CAN,TRA, , ,50,20ART-102-25238,20 TON - 2AXLE - 17.5 - 49 IN,3,3011,ATLANTIC POWERTRAIN & EQUIPMEN,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,5482.75,18093.13213,1,1,O, ,230,0,Y,N,N,N,27038,0,0,0,512853,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,19062.51,19062.51,0,5354.05,5354.05,0,82.37,82.37,0,19062.51,19062.51,0,5354.05,5354.05,0,0, ,00:00.0,1552, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,5482.75,18093.13213, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011BBBEC84, , 
10014521,8753ET4X MR,TRA, , ,50,53ET4X MR-102-25168,TRAILER 53' 4AX ET AIR RIDE,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,10429.25,45167.25535,1,1,O, ,316,0,Y,N,N,N,66346,0,0,0,512756,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,45025.83,24244.58,0,10300.55,4739.8,0,158.47,72.92,0,45025.83,0,0,10300.55,0,0,0, ,00:00.0,1617, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,10429.25,45167.25535, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D33F40E, , 
10014720,8727DT2X V2019,TRA, , ,50,27DT2X V2018-102-25456,27 FT - 2 AXLE - 24.5 - 49 IN,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,9399,46097.97895,1,1,O, ,310,0,Y,N,N,N,66627,0,0,0,512997,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,48262.04,24816.17,0,7371.65,2751.45,0,113.41,42.33,0,48262.04,0,0,7371.65,0,0,0, ,00:00.0,1305, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,9399,46097.97895, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011E219DF9, , 
