ID,Quote Date,Order Date,WO#,Quote#,Option No,Price,Qty,Sections,Description,Comments,Weight,Cost,Material Cost,Machine Shop,Steel Kit,Axles,Stakes/Bunks,Beam,GNK,Parts,Line,Step 1,Step 2,Blast,Paint,Finish,Finish - GNK,Final Assembly,Tire Assembly,Shipping,Start Date,End Date,SortSe,Width,Spread,Draw/Part#,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,ordopt_timestamp,Are WO Specs Different?,Comments V2
449190,00:00.0,NULL,NULL,25969,25ART-07,890.2816,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (6 steel;; 6 polished),NULL,-144,945.9165,945.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000047,NULL,0,NULL,NULL,0x00000002BEB0849D,0,NULL
450044,00:00.0,NULL,10014943,25976,30ANR-07,890.2816,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (6 steel;; 6 polished),NULL,-144,945.9165,945.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000047,NULL,0,NULL,NULL,0x00000002BE60E465,0,NULL
451999,00:00.0,NULL,NULL,26070,46LD3X4T V2018-42,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002BEDD66AF,0,NULL
452124,00:00.0,NULL,NULL,26074,48LD4X5T V2018-46,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002BEE61443,0,NULL
452090,00:00.0,NULL,NULL,26073,48LF3X5T V2018-17,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002BEE70946,0,NULL
452631,00:00.0,NULL,NULL,26078,48LD3X5T V2018-46,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002BEE50B2A,0,NULL
454387,00:00.0,NULL,NULL,26100,53ET4X MR-71,1543.1416,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (8 steel;; 8 polished),NULL,0,1261.222,1261.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99001619,NULL,0,NULL,NULL,0x00000002B2809D03,0,NULL
454391,00:00.0,NULL,NULL,26101,53ET4X MR-71,1543.1416,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (8 steel;; 8 polished),NULL,0,1261.222,1261.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99001619,NULL,0,NULL,NULL,0x00000002B280A290,0,NULL
454398,00:00.0,NULL,NULL,26102,53HF4X-14,1204.6216,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 steel;; 6 polished),NULL,-168,984.5526,984.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000111,NULL,0,NULL,NULL,0x00000002B102CE9E,0,NULL
456663,00:00.0,NULL,NULL,26128,30ANR-07,925.8929,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (6 steel;; 6 polished),NULL,-144,945.9165,945.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000047,NULL,0,NULL,NULL,0x00000002C3B58CAC,0,NULL
456135,00:00.0,NULL,NULL,26118,48HF4X-13,2243.2384,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 machined;; 6 polished),NULL,-336,1833.4223,1833.4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000110,NULL,0,NULL,NULL,0x00000002BE41483F,0,NULL
448346,00:00.0,NULL,NULL,25925,53ET3XP-08,890.2816,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (6 steel;; 6 polished),NULL,-144,945.9165,945.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000047,NULL,0,NULL,NULL,0x000000029CDF26EC,0,NULL
454299,00:00.0,NULL,NULL,26087,32DT3X V2018-21,1204.6216,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 steel;; 6 polished),NULL,-168,984.5526,984.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000111,NULL,0,NULL,NULL,0x00000002BEDB7EC3,0,NULL
