Text0,Text5,Desc,LongDesc,Text89,Text91,Text64,Text19,Text15,Text17,Text66,Text94,Text67,Text68,Text69,Text70,Text71,Text72,Seq,Op,Comp,Desc_txt,LongDesc_txt,Text95,QtPer,SUOM,MC,,RT,,LC,,TC,,,,,,,,,
,,,,,,,,,,,,,,,,,,21-Jan-21,3,402121-AXN-TBD,AXLE TA300T67E775-8404 ABS,"10 STUD LONG 3/4"" WALL",0,1,EA,"1,301.25",,,,0.00,,"1,301.25",,,,,,,,,
,,,,,,,,,,,,,,,,,,21-Jan-21,3,402122-AXN-TBD,AXLE TA300T67E775-8405 N/ABS,"10 STUD LONG 3/4"" WALL",0,2,EA,"2,445.34",,,,0.00,,"2,445.34",,,,,,,,,
,,,,,,,,,,,,,,,,,,22-Feb-21,3,402284,SENSOR #RM-200512,USED IN KIT 402195,0,1,EA,87.08,,,,0.00,,87.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,27-Jan-21,3,402316,BLOCK #RM-200516,USED WITH REVERSE/MATIC KIT,0,1,EA,7.84,,,,0.00,,7.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,27-Jan-21,3,402316-1,CLIP BLOCK #RM-200517,USED WITH REVERSE/MATIC KIT,0,1,EA,6.22,,,,0.00,,6.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,30-Jun-20,3,402760,SUSP R.WELL WEST/LIFT AXLE,#2200007 / RUA-220HL-1-15-USW,360,1,EA,"4,043.13",,,,0.00,,"4,043.13",,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,402858,AXLE SSA703184-09128N511IMT23-CAHD,BWS147-DXT594523,0,1,EA,"5,067.00",,,,0.00,,"5,067.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,21-May-20,3,40685,"SUSP R.WELL 30000# 15"" R/HT",O/S #2400815 70 DURO,1080,3,EA,"4,713.28",,,,0.00,,"4,713.28",,,,,,,,,
,,,,,,,,,,,,,,,,,,29-Jan-21,3,40900458,BRACKET 1 HL. SUSPENSION, ,0,12,EA,25.98,,,,0.00,,25.98,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Feb-21,4,03020,BOLT HEX 3/8 X 1-1/4 UNC,GR 5,0,11,EA,1.23,,,,0.00,,1.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,4,03132,"BOLT HEX 5/8"" X 1 1/2"" UNC",GR 5,0,24,EA,9.35,,,,0.00,,9.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,4,03241,NUT LOCK NYL 5/8 -11 UNC,#0169782,0,37,EA,8.12,,,,0.00,,8.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,15-Mar-21,4,03273,WASHER FLAT 1-1/4,#0159688,0,2,EA,1.00,,,,0.00,,1.00,,,,,,,,,
