Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,401433,SHOCK KIT DOUBLE:R/W #6040018,SET,01,3,0,-3,526.32,,0,,-526.32,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402154-AXN,AXLE TA300P67E775-7042 ABS,EA,01,1,0,-1,1722.27,,0,,-1722.27,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402155-AXN,AXLE TA300P67E775-7043 N/ABS,EA,01,2,0,-2,3258.71,,0,,-3258.71,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402284,SENSOR #RM-200512,EA,01,1,0,-1,87.08,,0,,-87.08,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402316,BLOCK #RM-200516,EA,01,1,0,-1,7.84,,0,,-7.84,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402316-1,CLIP BLOCK #RM-200517,EA,01,1,0,-1,6.22,,0,,-6.22,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402760,SUSP R.WELL WEST/LIFT AXLE,EA,01,1,0,-1,4043.13,,0,,-4043.13,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,402858,AXLE SSA703184-09128N511IMT23-,EA,01,1,0,-1,5067,,0,,-5067,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,40685,"SUSP R.WELL 30000# 15"" R/HT",EA,01,3,0,-3,4713.28,,0,,-4713.28,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,40900458,BRACKET 1 HL. SUSPENSION,EA,01,12,0,-12,25.98,,0,,-25.98,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,03020,BOLT HEX 3/8 X 1-1/4 UNC,EA,01,11,0,-11,1.24,,0,,-1.24,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,03132,"BOLT HEX 5/8"" X 1 1/2"" UNC",EA,01,24,0,-24,9.35,,0,,-9.35,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,03241,NUT LOCK NYL 5/8 -11 UNC,EA,01,37,0,-37,8.12,,0,,-8.12,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,03273,WASHER FLAT 1-1/4,EA,01,2,0,-2,1,,0,,-1,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,03564,NUT LOCK NYL 3/8 -16 UNC,EA,01,19,0,-19,0.96,,0,,-0.96,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,03745,NUT LOCK MET 5/8 -18 UNF,EA,01,14,0,-14,3.38,,0,,-3.38,,-100,,,,,,,,,,,,
