COMPANY NAME;;ADDRESS;;CITY;;PROVINCE;;POSTAL CODE
None;;32 Industrial Road;;Walpole;;MA;;02081
3 Beach Rd;;3 Beach Rd;;Norman's Cove;;NFLD;;None
A and H Excavating Ltd;;4 Whitelakes Rd;;Corner Brook;;NL;;A2H 6T2
Acott Construction Ltd. ;;238 Speerville Road;;Speerville;;NB;;E7N 2R8
Ag Progress Days;;2710 West Pine Grove Road;;Pennsylvania Furnace;;PA;;16865
Alex Plummer;;# 1406 Forest Lea Road;;Pembroke;;Ontario;;K8A 6W6
Applied Pressure;;55 Water Tower Rd.;;Saint John;;NB;;E2M 7K2
Archibald Drilling & Blasting;;86 Parkway Drive;;Truro;;NS;;B6L 1N8
Arizona Public Service Company;;5801 South Wintersburg Road;;Tonopah;;AZ;;85354
Asphalt Solutions Plus LLC;;18300 Centennial Rd. PO Box 151;;Marshall;;MI;;49068
Atkins Energy Federal EPC, Inc.;;2345 Stevens Drive, Suite 240           ;;Richland;;WA;;99354
Atlantic Paving;;213 Bypass 28;;Derry;;NH;;03038
Atlantic Powertrain & Equipment;;30 Glencoe Drive;;Mount Pearl;;NL;;A1N 4S8
Atlantic Trailer;;None;;None;;None;;None
Atlantic Wheeltrac;;None;;None;;None;;None
Avantech;;2050 American Italian Way;;Columbia;;SC;;29209
B & B Trailer & Truck Repair Ltd.;;None;;None;;None;;None
B & D Equipment Inc. dba E & R Trailers Sales;;20186 Lincoln Hwy;;Middle Point;;OH;;45863
B&M Trailer Sales;;None;;None;;None;;None
BAC Trailers Ltd.;;None;;None;;None;;None
Baer's Furniture;;4260 W New Haven Ave;;West Melbourne;;FL;;32904
Bangor Canvas Supply;;None;;None;;None;;None
Barry Equipment Co. Inc.;;30 Birch Island Road;;Webster;;MA;;01570
Bbad Boys TrucKing;;None;;None;;None;;None
Bell International;;2030 1st Ave N;;Saskatoon;;SK;;S7K 2A1
Bernard Williams;;None;;None;;None;;None
Bestway Truck Center;;None;;None;;None;;None
Betterbuilt Equipment;;None;;None;;None;;None
Birmingham Sealcoat Inc.;;2651 Metamora Rd.;;Oxford;;MI;;48371
Blues Logistics;;12555, 127 Ave.;;Edmonton;;AB;;None
Boyd Harding;;None;;None;;None;;None
Brad Vertz (Yard);;Road # 47 North;;Carberry;;MB;;None
Breadner Consolidated-Kitchener;;None;;None;;None;;None
Breadner Consolidated-Mississauga;;None;;None;;None;;None
Breadner Consolidated-Moncton;;None;;None;;None;;None
Breadner Consolidated-Montreal;;None;;None;;None;;None
Breadner Trailer Sales;;None;;None;;None;;None
Breadner Trailer Sales 2.0;;6431 Bank St. North;;Ottawa;;ON;;N0B 1M0
Breadner Trailer Sales-Kitchener;;None;;None;;None;;None
Breadner Trailer Sales-Lachine;;None;;None;;None;;None
Breadner Trailer Sales-Mississauga;;None;;None;;None;;None
Breadner Trailer Sales-Montreal;;None;;None;;None;;None
Breadner Trailers;;5185 Fountain St. N., P.O. Box 188;;Breslau;;ON;;N0B 1M0
Bridge Landscape Design Inc.;;5105 Griffith Rd;;Laytonsville;;MD;;20882
Bronte Equipment;;None;;None;;None;;None
Brookville Transport;;None;;None;;None;;None
Bryan Borland;;39  13 Mile Crossing;;Bishop Falls;;NL;;A0H 1C0
Bunzl Distribution;;180 Shrewsbury;;West Boylston;;MA;;01583
BWS - CDN Direct Sales;;29 Hawkins Road;;Centreville;;NB;;E7K 1A4
BWS - US Direct Sales;;29 Hawkins Road;;Centreville;;NB;;E7K 1A4
BWS Manufacturing Ltd.;;Booth - 74109;;MATS;;None;;None
BWS Manufacturing Ltd.;;29 Hawkins Road;;Centreville;;NB;;E7K 1A4
BWS/Arnie Lively Holdings Ltd.;;None;;None;;None;;None
BWS/Bodkin Capital Corp.;;None;;None;;None;;None
BWS/Breadner;;None;;None;;None;;None
BWS/Cit Financial;;None;;None;;None;;None
BWS/Lounsbury Truck;;None;;None;;None;;None
BWS/MacDonald Pontiac;;None;;None;;None;;None
BWS/National Leasing;;None;;None;;None;;None
BWS/Paul Equipment;;None;;None;;None;;None
BWS/Richwell Truck Center;;None;;None;;None;;None
BWS/Royal Bank;;None;;None;;None;;None
BWS/Sent back by Dutchess;;None;;None;;None;;None
BWS/Silver's Garage;;None;;None;;None;;None
BWS/UMA;;None;;None;;None;;None
BWS/Watts Leasing Inc.;;None;;None;;None;;None
BWS/Wells Fargo;;None;;None;;None;;None
c/o GES AG Connect Expo;;BWS Mfg. Booth# 1837, 1447 Liberty St.;;Kansas City;;MO;;64102
Camion Thomas LaPointe;;71 Rang 1 Est Sortie 488 Autoroute 20;;St. Andre de Kamouraska;;QC;;None
Cancel;;None;;None;;None;;None
Cancel - PG Truck;;None;;None;;None;;None
Cancelled;;None;;None;;None;;None
Cara Dawn Transport Limited;;Fleet Street North;;Regina;;SK;;S4N 0A1
Centre Du Camion;;None;;None;;None;;None
Centre Du Camion Amquis;;None;;None;;None;;None
CFB Esquimalt;;Building 66 Colwood;;Victoria;;BC;;V9C1B0
CFB Kingston;;5 Somme Avenue, Building C36;;Kingston;;Ontario;;K7K 7B4
CFB Kingston LSS Major Equipment Sect.;;10 Apprentice Street Bldg MA36;;Kingston;;ON;;K7K 7B4
CFB Shilo - Major Equipment Section;;Base Supply C-101;;Shilo;;MB;;R0K 2A0
Christopher W. McCue;;756 Nutswamp Road;;Red Bank;;NJ;;07701
City of Miramichi;;None;;None;;None;;None
CJ Logging Equipment;;PO Box 661;;Boonville;;New York;;13309
Clark’s Truck Center - Transit Redi Mix;;9775 County Rd.;;Clarence Center;;NY ;;14032-9651
Clark's Truck Center;;6 Orr Road;;Jericho;;VT;;05465
Clark's Truck Center;;I-87 Exit 36 4365 Route 22;;Plattsburgh;;NY;;12901
Commercial Fleet Repair;;None;;None;;None;;None
Con Expo - Marshalling Yard #2;;6640 W. Richmar Ave;;Las Vegas;;NV;;89139
ConExpo Marshalling Yard 2023;;6555 West Serene Avenue;;Las Vegas;;NV;;89139
Cooter's Transportation Systems;;#2 Airport Road;;Sundre;;Alberta;;T0M1X0
Cooter's Transportation Systems;;#2 Airport Road;;Sundre;;AB;;T0M 1X0
Corbec Galvanisation;;50 Rue Lisbonne;;St-Augustin-de-desmaures;;QC;;G3A 0M6
Correct Truck & Trailer Inc.;;2904 WEST 76TH STREET;;DAVENPORT;;IOWA;;52806
Crown Truck & Trailer Service;;None;;None;;None;;None
CusTom Spring & Mechanical;;None;;None;;None;;None
D.C. Inc. c/o Bond Excavating;;3448 Mineral Spring Rd;;Green Fork;;IN;;47345
D.H. Giberson Ltd.;;None;;None;;None;;None
Daigle & Houghton;;571 Coldbrook Rd. Exit 180;;Hermon;;ME;;04401
Daigle & Houghton;;130 Market Street, PO Box 191;;Fort Kent;;ME;;04743
Daigle & Houghton, an Allegiance Trucks Company;;571 Coldbrook Rd.;;Hermon;;ME;;04401
Daigle Oil Company;;50 Bangor St;;Houlton;;ME;;04730
David Goodine Ltd;;None;;None;;None;;None
DDA Services - (Tom Forbes);;None;;None;;None;;None
Deleavey Sand & Gravel Ltd.;;800, Route 395;;Anfield;;NB;;E7G 3S9
Demountable Concepts, Inc.;;200 Dr. Leo J McCabe Blvd.;;Glassboro;;NJ;;08028
Department of Transportation;;1050 College Hill Rd;;Fredericton;;NB;;E3B 5H1
Dexter's (Andy);;750 Bayside Drive;;Saint John;;NB;;None
DH Agro Ltd.;;Box 6, 320 Highway 16 E;;Foam Lake;;SK;;S0A 1A0
Diamond International;;See Attachment;;Regina;;SK;;None
Diamond International Trucks Ltd.;;17020 - 118 AVE.;;Edmonton;;AB;;T5S 1S4
Diamond Truck Centre;;7 Capital Circle;;Saskatoon;;SK;;S7R0H4
Don House;;PO Box 283;;Port Saunders;;NL;;A0K 4H0
Dossier Ville de Matane;;60 Avenue Saint-Jerome;;Matane;;QC;;G4W 3A2
Double G Trucking & Repair Ltd.;;82 Sunnyslope Drive;;Corner Brook;;NL;;A2H 7P7
DrisColl Truck Center;;None;;None;;None;;None
