COMPANY NAME;;ADDRESS;;CITY;;PROVINCE;;POSTAL CODE;;LAT;;LON
A and H? Excavating Ltd;;4 Whitelakes Rd;;Corner Brook;;NL;;A2H 6T2;;48.9064306;;-57.9020571
Acott Construction Ltd.;;238 Speerville Road;;Speerville;;NB;;E7N 2R8;;46.0258392;;-67.6295509
Ag Progress Days;;2710 West Pine Grove Road;;Pennsylvania Furnace;;PA;;16865;;40.7067191;;-77.9616956
Alex Plummer;;# 1406 Forest Lea Road;;Pembroke;;Ontario;;K8A 6W6;;45.816671;;-77.247338
Applied Pressure;;55 Water Tower Rd.;;Saint John;;NB;;E2M 7K2;;45.2125821;;-66.1724788
Archibald Drilling & Blasting;;86 Parkway Drive;;Truro;;NS;;B6L 1N8;;45.346922500639145;;-63.310410528593685
Arizona Public Service Company;;5801 South Wintersburg Road;;Tonopah;;AZ;;85354;;33.3875442;;-112.8684684
Asphalt Solutions Plus LLC;;18300 Centennial Rd. PO Box 151;;Marshall;;MI;;49068;;42.2764802;;-84.9372517
Atkins Energy Federal EPC, Inc.;;2345 Stevens Drive, Suite 240;;Richland;;WA;;99354;;46.3166524;;-119.2857967
Atlantic Paving;;213 Bypass 28;;Derry;;NH;;3038;;42.9393139;;-71.3443627
Atlantic Powertrain & Equipment;;30 Glencoe Drive;;Mount Pearl;;NL;;A1N 4S8;;47.525526;;-52.838854
B & D Equipment Inc. dba E & R Trailers Sales;;20186 Lincoln Hwy;;Middle Point;;OH;;45863;;40.8680212;;-84.4331543
Baer's Furniture;;4260 W New Haven Ave;;West Melbourne;;FL;;32904;;28.0794829;;-80.6955865
Barry Equipment Co. Inc.;;30 Birch Island Road;;Webster;;MA;;1570;;42.046068;;-71.8602755
Birmingham Sealcoat Inc.;;2651 Metamora Rd.;;Oxford;;MI;;48371;;42.8646036;;-83.2906101
Breadner Trailer Sales 2.0;;6431 Bank St. North;;Ottawa;;ON;;N0B 1M0;;45.421774;;-75.7016042
Breadner Trailers;;5185 Fountain St. N., P.O. Box 188;;Breslau;;ON;;N0B 1M0;;43.4648142;;-80.4043862
Bridge Landscape Design Inc.;;5105 Griffith Rd;;Laytonsville;;MD;;20882;;39.2334005;;-77.1017618
Bryan Borland;;39  13 Mile Crossing;;Bishop Falls;;NL;;A0H 1C0;;49.0356306;;-55.4483489
Bunzl Distribution;;180 Shrewsbury;;West Boylston;;MA;;1583;;42.3356647;;-71.772776
BWS - CDN Direct Sales;;29 Hawkins Road;;Centreville;;NB;;E7K 1A4;;46.426072;;-67.7067889
BWS - US Direct Sales;;29 Hawkins Road;;Centreville;;NB;;E7K 1A4;;46.426072;;-67.7067889
BWS Manufacturing Ltd.;;29 Hawkins Road;;Centreville;;NB;;E7K 1A4;;46.426072;;-67.7067889
c/o GES AG Connect Expo;;BWS Mfg. Booth# 1837, 1447 Liberty St.;;Kansas City;;MO;;64102;;39.0973284;;-94.6023003
Cara Dawn Transport Limited;;Fleet Street North;;Regina;;SK;;S4N 0A1;;50.4546569;;-104.5492039
CFB Esquimalt;;Building 66 Colwood;;Victoria;;BC;;V9C1B0;;48.43980562810865;;-123.47268001891352
CFB Kingston;;5 Somme Avenue, Building C36;;Kingston;;Ontario;;K7K 7B4;;44.2425717;;-76.4505407
Christopher W. McCue;;756 Nutswamp Road;;Red Bank;;NJ;;7701;;40.3598333;;-74.0957915
CJ Logging Equipment;;PO Box 661;;Boonville;;New York;;13309;;43.483101;;-75.335878
Clark's Truck Center - Transit Redi Mix;;9775 County Rd.;;Clarence Center;;NY;;14032-9651;;43.03006;;-78.6261163
Clark's Truck Center;;6 Orr Road;;Jericho;;VT;;5465;;44.5109753;;-72.9555042
Clark's Truck Center;;I-87 Exit 36 4365 Route 22;;Plattsburgh;;NY;;12901;;44.6620528;;-73.4854391
Con Expo - Marshalling Yard #2;;6640 W. Richmar Ave;;Las Vegas;;NV;;89139;;36.0170282;;-115.2381662
Cooter's Transportation Systems;;#2 Airport Road;;Sundre;;Alberta;;T0M1X0;;51.7970799;;-114.6393612
Cooter's Transportation Systems;;#2 Airport Road;;Sundre;;AB;;T0M 1X0;;51.7970799;;-114.6393612
Corbec Galvanisation;;50 Rue Lisbonne;;St-Augustin-de-desmaures;;QC;;G3A 0M6;;46.7550565;;-71.4605334
Correct Truck & Trailer Inc.;;2904 WEST 76TH STREET;;DAVENPORT;;IOWA;;52806;;41.5971957;;-90.6178897
D.C. Inc. c/o Bond Excavating;;3448 Mineral Spring Rd;;Green Fork;;IN;;47345;;39.87562;;-85.04402
Daigle & Houghton;;571 Coldbrook Rd. Exit 180;;Hermon;;ME;;4401;;44.7775181;;-68.8637054
Daigle & Houghton;;130 Market Street, PO Box 191;;Fort Kent;;ME;;4743;;47.2521589;;-68.580059
Deleavey Sand & Gravel Ltd.;;800, Route 395;;Anfield;;NB;;E7G 3S9;;46.9192124;;-67.495786
Demountable Concepts, Inc.;;200 Dr. Leo J McCabe Blvd.;;Glassboro;;NJ;;8028;;39.700817573356936;;-75.14296420213563
Department of Transportation;;1050 College Hill Rd;;Fredericton;;NB;;E3B 5H1;;45.93963286187066;;-66.64871404861506
DH Agro Ltd.;;Box 6, 320 Highway 16 E;;Foam Lake;;SK;;S0A 1A0;;51.65157127725971;;-103.57017861259244
Diamond International Trucks Ltd.;;17020 - 118 AVE.;;Edmonton;;AB;;T5S 1S4;;53.571213142859634;;-113.61669881473374
Don House;;PO Box 283;;Port Saunders;;NL;;A0K 4H0;;50.65065309106322;;-57.28850573685546
Dossier Ville de Matane;;60 Avenue Saint-Jerome;;Matane;;QC;;G4W 3A2;;48.83964026682881;;-67.5322087013791
Double G Trucking & Repair Ltd.;;82 Sunnyslope Drive;;Corner Brook;;NL;;A2H 7P7;;48.943106540703354;;-57.97607734370381
East Coast Grading Inc.;;2291 Loganville Hwy.;;Grayson;;GA;;30017;;33.889463628803185;;-83.95055898454727
Energy Solutions;;740 Osborn Road;;Barnwell;;SC;;29812;;33.24542862176132;;-81.469195183223
Energy Solutions LLC;;740 Osborn Rd;;Barnwell;;SC;;29812;;33.24542862176132;;-81.469195183223
Energy Solutions-Barnwell;;740 Osborn Road;;Barnwell;;SC;;29812;;33.24542862176132;;-81.469195183223
Excel Trailer;;405 Lee Hwy;;Roanoke;;Virginia;;24019;;37.360346865068514;;-79.92509276356832
Fleet Maintenance, Inc.;;67 RansierDr.;;West Seneca;;NY;;14224;;42.84590930500439;;-78.74598571317719
Fort Garry;;1440 Highland Ave.;;Brandon;;MB;;R7C 1A7;;49.88625370893624;;-99.95690910134957
Fort Garry - Edmonton;;16230 118th Ave. NW;;Edmonton;;AB;;T5V 1C6;;53.571074874943136;;-113.60131911710663
Fort Garry Industries;;3445 Miners Ave.;;Saskatoon;;SK;;S7K 7K9;;52.186841645651036;;-106.65957015710235
Fort Garry Industries;;20246 102 Ave.;;Langley;;BC;;V1M 4B4;;49.18725202258814;;-122.66038974369695
Fort Garry Industries;;1523 Ross Ave. E.;;Regina;;SK;;S4N 7E5;;50.4646203035346;;-104.5611451786612
Fort Garry Industries;;5350 72 Ave SE;;Calgary;;AB;;T2C 4X5;;50.99032579994693;;-113.95484105899031
Fort Garry Industries;;5701 63 Ave;;Lloydminster;;AB;;T9V 3B8;;53.29358029981771;;-110.03599574728428
Fort Garry Industries;;1539 36th St. N;;Lethbridge;;AB;;T1H 6X2;;49.72059326136008;;-112.78778591669885
Fort Garry Industries;;170 Queens Dr.;;Red Deer;;AB;;T4P 0R5;;52.31340482188421;;-113.87189034360706
Fort Garry Industries Ltd.;;2525 Inkster Boulevard;;Winnipeg;;MB;;R2R 2Y4;;49.9467712835161;;-97.22133380134785
GDM Trailer Sales & Service;;3731 B ENTERPRISE DRIVE S.W.;;ROCHESTER;;MN;;55902;;44.01729108882624;;-92.43524718208647
GIBBON TRUCK & TRAILER SALES;;442 13th St. E;;Gibbon;;MN;;55335;;44.53565027271972;;-94.52047681498689
Global Enterprise, Inc.;;3521 Goddard Way;;Alexandria;;VA;;22304;;38.80976348324542;;-77.09148565930906
Green Mountain Power;;2152 Post Road;;Rutland;;VT;;5701;;43.63688503233818;;-72.97151628617397
Hale Trailer;;5361 Oakview Drive;;Allentown;;PA;;18106;;40.592512925575946;;-75.58169547090515
Hale Trailer;;20 Pine Tree Industrial Park;;Portland;;ME;;4102;;43.66785098443814;;-70.32447592664774
Hale Trailer Brake & Wheel;;76 Cooper Road, PO Box 1400;;Voorhees;;NJ;;8043;;39.82383949798047;;-74.92699484579363
HALE TRAILER BRAKE & WHEEL;;2201 Hawkins Point Road;;Baltimore;;MD;;21226;;39.205862564365894;;-76.57533091697208
Hale Trailer Brake & Wheel;;32 Industrial Road;;Walpole;;MA;;2081;;42.11800507848884;;-71.26771421504844
Hale Trailer Brake & Wheel;;1290 Mid Valley Drive;;Jessup;;PA;;18434;;41.46475663734517;;-75.5741662941608
Hale Trailer Brake & Wheel Inc.;;20 Pinetree Industrial Parkway;;Portland;;ME;;4102;;43.667990677842845;;-70.32446519781159
Hardings Inc.;;109 W. COMMERCIAL AVE.;;LOWELL;;IN;;46356;;41.29077696274967;;-87.42344278993896
Heartland Event Center/Fonner Park;;700 E. Stolley Park Rd.;;Grand Island;;NE;;68801;;40.90555302805163;;-98.33002754391453
Hilltop Construction;;795 Therbrook Road;;Randolph;;Vermont;;5060;;43.335921276733735;;-73.54201208119781
Hooper Welding;;1390 Advance Road;;Oakville;;ON;;L6L 6L6;;43.425072504893976;;-79.71589147268783
Hostetler Custom Harvest c/o Moore's Towing;;728 Middleton Run Road;;Elkhart;;IN;;46516;;41.683234346307;;-85.91532154389544
I State Truck Center;;4600 South Frontage Road;;Billings;;MT;;59106;;45.75123821411768;;-108.53127361680795
I-29 Trailer Sales Inc.;;3701  38th St. W, Suite A;;Fargo;;ND;;58104;;46.8217023006098;;-96.84144499958148
Independent Ag Equipment;;374 Heidlersburg Road;;Biglerville;;PA;;17307;;39.9488684;;-77.13589
J & M Brown Trucking Inc.;;411 Walnut Street #11634;;Green Cove Springs;;FL;;32043-3443;;29.993386707508787;;-81.67983818833598
J & M Brown Trucking, Inc.;;356612 East 800 Road;;Stroud;;OK;;74079;;35.860806568779246;;-96.65012640553302
J-1 Contracting Ltd;;PO Box 9068;;Clarenville;;NL;;A5A2C2;;48.14177721321208;;-53.9466972099755
Kentucky Exposition Center - MATS;;937 Phillips Lane - D LOT;;Louisville;;KY;;40209;;38.19958690332499;;-85.74158123122197
KILLOWEEN FARMS LTD.;;153 KILLOWEEN RD.;;KILLOWEEN;;NB;;E7J 1P3;;46.606814847491414;;-67.58111930144938
Le Centre Routier (1994) Inc.;;375 Temiscouata;;Riviere-du-Loup;;QC;;G5R 3Z5;;47.820576246071745;;-69.5029850590887
Lindsay Sporting Camps;;4751, Route 104;;Maplewood;;NB;;E6E 2A8;;46.131703920012335;;-67.19889003600662
Lucky's Trailers;;402 VT Route 107;;Royalton;;VT;;5068;;43.82841603859714;;-72.57372500152204
M & K Trailer Center of Grand Rapids LLC;;2655 Burlingame Ave. SW;;Wyoming;;MI;;49509;;42.91598441062073;;-85.70687400154524
Maxim Inc.;;125 Conservation Road;;Thunder Bay;;ON;;P7B 6T8;;48.42120358214594;;-89.2772624191216
Maxim Trailer;;Box 42, Group 200, RR 2;;Winnipeg;;MB;;R3C 2E6;;49.945226363938225;;-97.23147212463634
Maxim Trailers Services;;580 Oak Point Hwy;;Winnipeg;;MB;;R3C 2E6;;49.94443211556766;;-97.23212559950521
McCorkle Sales Inc.;;9899 US Hwy. 280;;Claxton;;GA;;30417;;32.163080851360085;;-81.89293665617348
Measurement Canada;;5000 rue Rideau;;Quebec;;QC;;G2E 6B5;;46.79788454121771;;-71.3211759014443
Michaud Equipment;;109 Chemin Desjardins Road;;Grand Falls;;NB;;E3Z 3G1;;47.08577714274418;;-67.77112123027253
Midland States Bank;;7700 Bonhomme Ave., Suite 300;;Clayton;;MO;;63105;;38.64743662717615;;-90.33825434397589
Mike Forsyth;;2221, Route 560;;Lakeville;;NB;;E7K 1T5;;46.34480564947915;;-67.68983091494833
