dealer,model,slot,market,freight,date
4,46LF3X4T NS <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,46LF3X4T NL <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,46LD4X4T NS <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,39LBT3X NS <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,28LBT2X NS <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,42LD3X NL <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,27LBT2X NL <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,37LBT3X NL <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,46LD3X4TLW NS <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,18LPT3X <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LF4X NL <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,51LD5X5T ON <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,25LPT3X JDI <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,53LD3X5T JDIHD <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LD4X4T V2018 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,46LF3X4T NS V2017 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LF3X5T NB V2016 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,51LF3X5T NB V2016 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LF3X NL <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,39LBT3X ON <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,51LF4X5T NB TRI V2016 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,51LF4X5T V2018 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LF4X5T V2018 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LF3X5T V2018 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
4,48LD3X5T V2018 <LOG EASTERN>,44.0,0.0,0.0,2021-05-17
