class,model_name,description,status,proposed
Log Eastern,46LD3X4T NS,46 ft. Tridem 4 Tier Drop Frame - NS,1,1
Log US,46LD3X4T US,46 ft. Tridem 4 Tier  -  US,0,1
Log Eastern,46LF3X4T NS,46 ft. Tridem 4 Tier Taper Frame -  NS,0,1
Log Eastern,46LF3X4T NL,46 ft.Tridem 4 Tier Taper Frame -  NL,0,1
Log US,48LD3X5T US,48 ft. Tridem 5 Tier Drop Frame -  US,0,1
Log Eastern,48LF3X5T NB,48 ft. Tridem 5  Tier Taper Frame - NB,1,0
Log Eastern,51LF3X5T NB,51 ft. Tridem 5  Tier Taper Frame - NB,1,0
Log,64LBT5X NL,64' 5 Axle B-Train - NL,1,0
Machinery,35ADG2X AGNR,35 Ton Tandem 48 ft. Agri-Non RTAC,0,0
Machinery,35ADG2X AGR,35 Ton Tandem 48 ft. Agri RTAC,0,1
Machinery,35ADG2X NR,35 Ton Tandem 48 ft. Non RTAC,0,0
Machinery,35ADG2X R,35 Ton Tandem 48 ft. RTAC,0,1
Machinery,35FA,35 Ton Single Axle Flip,0,0
Machinery,40ADG2X NR,40 Ton Tandem 48 ft. - Non RTAC,0,0
Machinery,40ADG3X AGR,40 Ton Tridem 49 ft 5 in. Agri RTAC,0,0
Machinery,40ADG3X R,40 Ton Tridem 49 ft. 5 in. RTAC,0,0
Oilfield,40SN3X,40 Ton Tridem Scissorneck,0,0
Oilfield,55LB3X,55 Ton Tridem Lowboy Ridigneck,1,0
Snow & Ice Control,2510,10 ft.  U-Body Dump,0,0
Snow & Ice Control,2513,13 ft. U-Body Dump,0,0
Snow & Ice Control,2514,14 ft. U-Body Dump,0,0
Tags,20ANR,20 Ton Tandem Air Tilt/No Ramp,0,0
Paving & Recovery,53ET2XP,53 ft. Tandem,0,0
Hydraulics,55HDG3X BT,55 Ton Tridem Beavertail,1,0
Log Eastern,48LF4X5T NB,48 ft. Quad 5 Tier Taper Frame - NB,1,0
Log Western,48LF4X3T AB,48' 3 Tier Quad - AB,1,0
Tags,15BWS2X,15 Ton Non Tilt Tandem Deckover Electric Brake,0,1
Log Western,50LD3X3T BC,50' 3 Tier Tridem - BC,1,0
Hydraulics,55HDG3X SBPD,55 Ton Tridem Square Back Pin Deck,1,0
Hydraulics,25HDG2X SB,25 Ton Tandem Mini Quad Deck,1,0
Highway,51HD3X CON,51 ft. Tridem Drop Deck,0,0
