ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
18520,53ET3X,53ET3X-91,1/4/2021,7/1/2021,NULL,ACCESSORIES,"Remove mud flaps, set up for flaps only – customer will install their own.",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF156840,NULL
7536,53ET3X,53ET3X-56,12/18/2012,6/30/2013,4218.38,GOOSENECK,"*15,000 lbs Electric Winch with 90 ft. of Cable c/w 2 Lead Live Roll - Located on top of GNK",150,NULL,0,NULL,3,99000265,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567FA,5481.26
6354,53ET3X,53ET3X-57,11/1/2011,6/30/2012,4906.72,SUSPENSION/AXLES,* Disc Brakes (PAN 22 Axles - Tires Size 22.5 or 24.5),0,NULL,NULL,NULL,13,99000322,NULL,1,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F0,6693.7474
6355,53ET3X,53ET3X-58,11/1/2011,6/30/2012,2156.96,SUSPENSION/AXLES,"Alum. Wheel Pkg. 22.5  (6 machined, 6 polished)",-336,NULL,0,NULL,13,99000110,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F1,1659.2
6362,53ET3X,53ET3X-59,11/1/2011,6/30/2012,1158.29,SUSPENSION/AXLES,"Alum. Wheel Pkg. 22.5  (6 steel, 6 polished)",-168,NULL,0,NULL,13,99000111,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F2,891
6684,53ET3X,53ET3X-48,7/1/2011,9/30/2011,7878,GOOSENECK,"20,000 lbs electric Winch with 90 Ft of Cable installed in Gooseneck comes with lead/live roll at front of Gooseneck (Curb Side)",0,102,NULL,61,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000000AF1E1A9,10747.1676
6706,53ET3X,53ET3X-29,11/1/2011,6/30/2012,72.6,LOAD SECUREMENT DEVICES,Winches (3 Bar Weld On) #14001NP side mount (hooks not included) BWS #24077,15,NULL,0,NULL,9,99000281,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F3,55.63
6707,53ET3X,53ET3X-51,11/1/2011,6/30/2012,61.1832,RAMPS,* 38 in. x 76 in. Air Operated Planked In,-65,NULL,0,NULL,15,99000317,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F4,49.608
6821,53ET3X,53ET3X-52,10/8/2013,6/30/2014,5877.04,SUSPENSION/AXLES,* Disc Brakes (PAN 17 Axles - Tires Size 17.5),0,NULL,NULL,NULL,13,99000285,NULL,1,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F5,8017.458
7353,53ET3X,53ET3X-02,7/1/2012,6/30/2013,204.8,SUSPENSION/AXLES,Dual Holland Mark V 2 Speed Landing Gear,0,NULL,0,NULL,13,99000256,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F6,163.84
7375,53ET3X,53ET3X-53,9/21/2012,6/30/2013,1805.6817,DECK,* Moulded Rub Rail and Stake Pockets and Spools 24 in. OC-Inside nominal width,400,NULL,NULL,NULL,7,99000297,NULL,1,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F7,1464.0663
7428,53ET3X,53ET3X-54,10/18/2012,6/30/2013,1806.3708,SUSPENSION/AXLES,Upgrade to 255/70R22.5 Tires and 10 stud Unimount Rims/Axles with Heavy Duty Fenders and Grousar Bars,840,NULL,0,NULL,13,99000290,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F8,1389.51
7429,53ET3X,53ET3X-55,10/24/2012,6/30/2013,137.127,SUSPENSION/AXLES,5/16 in. heavy duty smooth plate fenders - WITH grouser,0,NULL,0,NULL,13,99000288,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567F9,105.48
8573,53ET3X,53ET3X-03,11/1/2011,6/30/2012,772.54,GOOSENECK,1 1/8 inch All Keruing/Apitong Floor-GNK Only,100,NULL,0,NULL,3,99000308,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567FB,631.6564
8574,53ET3X,53ET3X-04,11/1/2011,6/30/2012,280.63,GOOSENECK,Headboard Pockets and Rub Rail,22,NULL,0,NULL,3,99000311,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567FC,215.87
8575,53ET3X,53ET3X-05,11/1/2011,6/30/2012,3734.62,GOOSENECK,"*15,000 lbs Electric Winch with 90 ft. of Cable c/w Lead Live Roll - Located in Kick",120,NULL,0,NULL,3,99000266,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567FD,4852.68
8576,53ET3X,53ET3X-06,11/1/2011,6/30/2012,1790.9977,LOAD SECUREMENT DEVICES,* Moulded Rub Rail and Stake Pockets and Spools 24 in. OC (Increase width of Trailer by 4 in.) Outside Nominal Width,400,NULL,0,NULL,9,99000298,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567FE,1452.1603
8577,53ET3X,53ET3X-07,11/1/2011,6/30/2012,1571,LOAD SECUREMENT DEVICES,* Moulded Rub Rail and Stake Pockets and Spools 48 in. OC (Increase width of Trailer by 4 in.) Outside Nominal Width,350,NULL,0,NULL,9,99000301,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF1567FF,1320
8578,53ET3X,53ET3X-08,11/1/2011,6/30/2012,676.6477,LOAD SECUREMENT DEVICES,Heavy duty Rub Rail 3/8 in. X 3 in. In lieu of Moulded Rubrail,100,NULL,0,NULL,9,99000307,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF156801,548.6333
8579,53ET3X,53ET3X-10,11/1/2011,6/30/2012,2423.67,DECK,1 1/8 inch All Keruing/Apitong Floor-Deck Only,300,NULL,0,NULL,7,99000303,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000001BF156802,1904.3891
