ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
171,37DT3X,37DT3X-01,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,141.6840,ACCESSORIES,"Additional Mudflaps with Brackets (pair)",12,NULL,0,NULL,17,99000088,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0618,120.6228
172,37DT3X,37DT3X-02,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,420.8099,ACCESSORIES,"Mudflaps w/brackets (3 sets) 1 set center rear, 1 set in front of tridem, 1/2 set front fender",36,NULL,0,NULL,17,99000089,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0619,358.2571
173,37DT3X,37DT3X-03,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,439.4749,ACCESSORIES,"Polished Stainless Pkg.",10,NULL,0,NULL,17,99000090,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD061A,374.1475
174,37DT3X,37DT3X-04,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4236.0965,ACCESSORIES,"Vinyl Tarp - Cable System c/w 12 in. Tarp bow (Crank & Go)",200,NULL,0,NULL,17,99000116,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD061B,3606.4063
175,37DT3X,37DT3X-05,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4454.9853,ACCESSORIES,"Tarp - Under Body System (Electric Crank) - Wind Deflector Incl.",200,NULL,0,NULL,17,99000114,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD061C,3792.7579
176,37DT3X,37DT3X-06,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,NULL,ACCESSORIES,"Tarp - Under Body System (Manual Crank) - Wind Deflector Incl.",NULL,NULL,0,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD061D,NULL
177,37DT3X,37DT3X-07,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,2306.7500,DECK,"1/2 Fenders (Plastic) Over Wheels",100,NULL,0,NULL,7,99000101,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD061E,1715.4446
178,37DT3X,37DT3X-08,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,188.8979,DECK,"Tailgate Tightener Safety Kit",100,NULL,0,NULL,7,99000113,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD061F,160.8184
179,37DT3X,37DT3X-09,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1828.3173,DECK,"1/4 in. Hardox 450 Floor",550,NULL,0,NULL,7,99000105,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0620,1556.5403
180,37DT3X,37DT3X-10,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,408.9322,DECK,"10 in. Planks - Painted and Installed",50,NULL,0,NULL,7,99000108,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0621,348.1450
181,37DT3X,37DT3X-11,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,456.4430,DECK,"Asphalt Apron - 12 in. Bolt on Sloped Rear",60,NULL,0,NULL,7,99000084,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0622,388.5934
182,37DT3X,37DT3X-12,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,344.4533,DECK,"Asphalt Apron - 6 in. Bolt on Sloped Rear",40,NULL,0,NULL,7,99000083,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0623,293.2508
183,37DT3X,37DT3X-13,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,2405.2342,DECK,"Tailgate - 2 Way (top hinge, side hinge)",20,NULL,0,NULL,7,99000103,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0624,2047.6992
184,37DT3X,37DT3X-14,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4120.7130,DECK,"Tailgate - Hi Lift Assy. (Dual Vertical Function)",1150,NULL,0,NULL,7,99000104,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0625,3508.1746
185,37DT3X,37DT3X-15,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,315.1832,LIGHTING/ELECTRICAL,"Strobe Lights in Rear Post",0,NULL,0,NULL,19,99000091,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0626,268.3316
186,37DT3X,37DT3X-17,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1781.6548,PAINT,"Paint Color: Red Color Chassis w/Gray Body",0,NULL,0,NULL,21,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD0627,1516.8142
