IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
376,37DT3X,37DT3X-001,TRAILER,Overall Length,"40 ft. 6 in. (Box length 37 ft.)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,1,0,1,10,NULL
377,37DT3X,37DT3X-002,TRAILER,Overall Width,"102 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,2,0,1,20,NULL
378,37DT3X,37DT3X-003,TRAILER,Weight lbs +/- 2%,"19,472",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,3,0,1,30,NULL
379,37DT3X,37DT3X-004,TRAILER,Water Level Cubic Capacity - No Planks,"37 Cubic Yards",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,4,0,1,40,NULL
380,37DT3X,37DT3X-005,TRAILER,WLCC - w/10in Top Planks,"42.4 Cubic Yards",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,5,0,1,50,NULL
381,37DT3X,37DT3X-006,COUPLER,Coupler,"Weld in King Pin",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,1,0,10,10,NULL
382,37DT3X,37DT3X-007,COUPLER,Coupler Plate,"5/16 in. Hi-Tensile, 50 in. Height",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,2,0,10,20,NULL
383,37DT3X,37DT3X-009,COUPLER,Coupler Location,"18 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,4,0,10,30,NULL
384,37DT3X,37DT3X-010,STRUCTURE,Sills,"3/16 in. formed full length",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,1,0,16,10,NULL
385,37DT3X,37DT3X-011,STRUCTURE,Floor,"3/16 in. Hardox 450",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,2,0,16,20,NULL
386,37DT3X,37DT3X-012,STRUCTURE,Sides,"43 in. High 3/16 in. Hardox 450 (Crimped Design)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,3,0,16,30,NULL
387,37DT3X,37DT3X-013,STRUCTURE,Rear Posts,"3/16 in. 50W",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,4,0,16,40,NULL
388,37DT3X,37DT3X-014,STRUCTURE,Risers,"10 in. planks (not included)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,5,0,16,120,NULL
389,37DT3X,37DT3X-015,STRUCTURE,Top Rail,"Formed 3/16 in. 50W",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,6,0,16,50,NULL
390,37DT3X,37DT3X-016,STRUCTURE,Headboard,"3/16 in. Hardox 450",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,7,0,16,60,NULL
391,37DT3X,37DT3X-018,STRUCTURE,Tow eyes at rear,"Included",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,9,0,16,80,NULL
392,37DT3X,37DT3X-019,STRUCTURE,Landing Gear,"Dual 2 Speed",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,10,0,16,90,NULL
393,37DT3X,37DT3X-020,STRUCTURE,Tarp Mount Brackets,"Integrated to tub for front to back tarp installation",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,11,0,16,100,NULL
394,37DT3X,37DT3X-021,STRUCTURE,Tarp,"Optional",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,12,0,16,110,NULL
395,37DT3X,37DT3X-022,STRUCTURE,Dump Hoist,"51 Ton Capacity with 265 in. stroke (42 degree), dump hoist pins c/w greasable pins",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,13,0,16,130,NULL
396,37DT3X,37DT3X-017,STRUCTURE,Tailgate,"54 in. top hinge gate, 3/16 in. Hardox 450 c/w air lock and automatic suspension drop - includes spreader chains on rear, and air override tailgate valve for manual release., beveled opt lip for easy removal of product forming on the top",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,8,0,16,70,NULL
397,37DT3X,37DT3X-023,STRUCTURE,Asphalt Apron,"Optional",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,14,0,16,140,NULL
398,37DT3X,37DT3X-024,STRUCTURE,Ladder,"1 on front drivers side headboard, 1 on rear drivers side rear.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,15,0,16,150,NULL
399,37DT3X,37DT3X-025,SUSPENSION/AXLES,Axles,"25,000 lbs Capacity 77.5 in. Track 3/4 in. wall",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,1,0,40,10,NULL
400,37DT3X,37DT3X-026,SUSPENSION/AXLES,Spread,"72 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,2,0,40,20,NULL
401,37DT3X,37DT3X-027,SUSPENSION/AXLES,Suspension,"Ridewell RAR 240 25,000 lbs, 15 in. Ride Height o/s c/w 4 in. air load gauge at front near glad hands",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,3,0,40,30,NULL
402,37DT3X,37DT3X-028,SUSPENSION/AXLES,Brakes,"16 1/2 in. x 7 in.,  Includes Dust Shields",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,4,0,40,40,NULL
403,37DT3X,37DT3X-029,SUSPENSION/AXLES,Brake Chamber,"#3030,  All Axles",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,5,0,40,50,NULL
404,37DT3X,37DT3X-030,SUSPENSION/AXLES,Air Brake System,"2S/1M",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,6,0,40,60,NULL
405,37DT3X,37DT3X-031,SUSPENSION/AXLES,Slack Adjusters,"Automatic",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,7,0,40,70,NULL
406,37DT3X,37DT3X-032,SUSPENSION/AXLES,Camshafts,"28 Spline Enclosed",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,8,0,40,80,NULL
407,37DT3X,37DT3X-033,SUSPENSION/AXLES,Hubs & Drums,"10 Stud Unimount C / W Cast Drums",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,9,0,40,90,NULL
408,37DT3X,37DT3X-034,SUSPENSION/AXLES,Control Box,"Located on the front of the suspension",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,10,0,40,100,NULL
409,37DT3X,37DT3X-035,SUSPENSION/AXLES,Tires,"11R22.5",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,11,0,40,110,NULL
410,37DT3X,37DT3X-036,SUSPENSION/AXLES,Wheels,"8.25 x 22.5 Steel Disc - Painted White",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,12,0,40,120,NULL
411,37DT3X,37DT3X-037,GENERAL SPECIFICATIONS,Electrical System,"Modular, Vapor Proof GROTE Ultra Blue",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,1,0,73,10,NULL
412,37DT3X,37DT3X-038,GENERAL SPECIFICATIONS,Front Connector,"SAE J560 7 Pin and ISO Connector",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,2,0,73,20,NULL
413,37DT3X,37DT3X-039,GENERAL SPECIFICATIONS,Lights,"LED CMVSS 108 / FMVSS 108",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,3,0,73,30,NULL
414,37DT3X,37DT3X-040,GENERAL SPECIFICATIONS,Dump Valve,"Manual and Auto dump (on Tail gate activation), Inside Control Box",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,4,0,73,40,NULL
415,37DT3X,37DT3X-041,GENERAL SPECIFICATIONS,Finishing,"Preparation by Steel Shot Blast, Commercial / Industrial Topcoat, Oven Baked",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,5,0,73,50,NULL
416,37DT3X,37DT3X-042,GENERAL SPECIFICATIONS,Mudflaps,"2 set of BWS, 1 set at rear, 1 set at rear of front fenders",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,6,0,73,60,NULL
417,37DT3X,37DT3X-043,GENERAL SPECIFICATIONS,Color,"Dark Gray Chassis and Body c/w Black highlights (accents)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,7,0,73,70,NULL
418,37DT3X,37DT3X-044,GENERAL SPECIFICATIONS,Fenders,"Stainless Tobaggan Style at Front. Open @ Rear",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,8,0,73,80,NULL
9399480,37DT3X,37DT3X-045,STRUCTURE,1/4 Frame Pivot Hinges,"Fitted with Dryslide Self Lubricated Bushings and Greasable Pins",NULL,NULL,NULL,NULL,NULL,16,131,NULL
