IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
4541894,53EWF4X,53EWF4X-029,SUSPENSION/AXLES,Brake Chamber,"#3030 on Tridem and 30 pots on steer axle",NULL,NULL,7,5,NULL,40,50,NULL
4541958,53EWF4X,53EWF4X-030,SUSPENSION/AXLES,Air Brake System,"4S/2M",NULL,NULL,7,6,NULL,40,60,NULL
4541959,53EWF4X,53EWF4X-033,SUSPENSION/AXLES,Hubs & Drums,"10 Stud long, Cast",NULL,NULL,7,9,NULL,40,100,NULL
4541960,53EWF4X,53EWF4X-061,TRAILER,Box Height,"97 in.",NULL,NULL,NULL,NULL,NULL,1,40,NULL
4541961,53EWF4X,53EWF4X-062,STRUCTURE,Back Door,"Barn Style, Steel plated with no ventilation door, 3 MM, 100,000 PSI",NULL,NULL,NULL,NULL,NULL,16,120,NULL
4541962,53EWF4X,53EWF4X-067,STRUCTURE,Central Lacing,"Flatbar 1/4 in. x 3 in. positioned in X Bracing",NULL,NULL,NULL,NULL,NULL,16,60,NULL
4541963,53EWF4X,53EWF4X-068,STRUCTURE,Side Rail,"3/16 in., 100,000 PSI",NULL,NULL,NULL,NULL,NULL,16,40,NULL
4541965,53EWF4X,53EWF4X-012,STRUCTURE,Wall,"1/8 in. Hardox 450",NULL,NULL,4,3,NULL,16,130,NULL
4541966,53EWF4X,53EWF4X-018,GENERAL SPECIFICATIONS,Tow eyes at rear,"Included",NULL,NULL,4,9,NULL,73,100,NULL
4541967,53EWF4X,53EWF4X-035,SUSPENSION/AXLES,Tires,"12 of 11R22.5 Continental HSR2 and 2 of 385/65R22.5 Continental HTR2",NULL,NULL,7,11,NULL,40,130,NULL
4541968,53EWF4X,53EWF4X-074,GENERAL SPECIFICATIONS,PTO Capacity,"30 GPM @ 3000 psi",NULL,NULL,NULL,NULL,NULL,73,150,NULL
4541969,53EWF4X,53EWF4X-075,GENERAL SPECIFICATIONS,Hydraulic Couplings,"Quick Connect with Cap",NULL,NULL,NULL,NULL,NULL,73,140,NULL
4541970,53EWF4X,53EWF4X-080,GENERAL SPECIFICATIONS,Air Tank Drainage,"Cable Line in tube",NULL,NULL,NULL,NULL,NULL,73,170,NULL
4541971,53EWF4X,53EWF4X-022,STRUCTURE,Front Panel,"Steel 3 MM 100,000 PSI",NULL,NULL,4,13,NULL,16,110,NULL
4541972,53EWF4X,53EWF4X-039,GENERAL SPECIFICATIONS,Lights,"LED CMVSS 108 / FMVSS 108",NULL,NULL,10,3,NULL,73,30,NULL
4541975,53EWF4X,53EWF4X-026,SUSPENSION/AXLES,Spread,"72 in. - 72 in. - 100 in.",NULL,NULL,7,2,NULL,40,20,NULL
4541976,53EWF4X,53EWF4X-060,STRUCTURE,Roof Bows,"2 of 6 in. x 2 in. x 3/8 in., bolted on each side and placed at 1/3 rd and 2/3rd position in the box",NULL,NULL,NULL,NULL,NULL,16,150,NULL
4541978,53EWF4X,53EWF4X-010,STRUCTURE,Main Beams,"3/16 in. 80,000 PSI",NULL,NULL,4,1,NULL,16,10,NULL
4541979,53EWF4X,53EWF4X-044,GENERAL SPECIFICATIONS,Front Fenders,"None Required",NULL,NULL,10,8,NULL,73,80,NULL
4541980,53EWF4X,53EWF4X-056,SUSPENSION/AXLES,Lift Suspension,"1 of 30,000 lbs overslung, Super Single wheel steer with Reverse-O-matic includes control box",NULL,NULL,NULL,NULL,NULL,40,35,NULL
4541981,53EWF4X,53EWF4X-063,STRUCTURE,Crossmembers,"I Beam - 4 in. on 12 in. centers",NULL,NULL,NULL,NULL,NULL,16,70,NULL
4541982,53EWF4X,53EWF4X-071,STRUCTURE,Floor,"Keith KRFII - 53FT. X 102 in. 24 x 2301 with 2 additional slats (34LA822104) (101.625)",NULL,NULL,NULL,NULL,NULL,16,80,NULL
4541983,53EWF4X,53EWF4X-072,SUSPENSION/AXLES,Bearings,"HP Parallel with Splash Guards",NULL,NULL,NULL,NULL,NULL,40,90,NULL
4541984,53EWF4X,53EWF4X-077,GENERAL SPECIFICATIONS,Reflective Tape,"Included",NULL,NULL,NULL,NULL,NULL,73,120,NULL
4541985,53EWF4X,53EWF4X-078,GENERAL SPECIFICATIONS,Document Holder,"Aluminum",NULL,NULL,NULL,NULL,NULL,73,110,NULL
4541986,53EWF4X,53EWF4X-009,COUPLER,Coupler Location,"30 in.",NULL,NULL,3,4,NULL,10,30,NULL
