ID#,Model No,Option No,Description,Line#,SpecGroup,SpecSortG,SpecSection,SpecSortSe,SpecDescription,SpecDescriptionBold,SpecDescriptionItalic,SpecDescriptionUnderline,SpecDescriptionBackColour,SpecDescriptionFontColour,SpecSortSeLine,osl_timestamp
20049,53ET3X,53ET3X-88,Galvanizing for bi-fold ramp option,1,GENERAL SPECIFICATIONS,73,Color,60,bi-fold,0,0,0,NULL,NULL,0,0x00000001D2AC92AA
20050,53ET3X,53ET3X-89,Galvanizing Unit,1,GENERAL SPECIFICATIONS,73,Color,60,Galvanized,0,0,0,NULL,NULL,0,0x00000001D2BDE07A
20051,53ET3X,53ET3X-90,Zinc Paint,1,GENERAL SPECIFICATIONS,73,Color,60,Zinc Paint,0,0,0,NULL,NULL,0,0x00000001BF147E90
20052,53ET3X,53ET3X-88,Galvanizing for bi-fold ramp option,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0x00000001BF147E91
20053,53ET3X,53ET3X-89,Galvanizing Unit,2,GENERAL SPECIFICATIONS,73,Finishing,50,NULL,0,0,0,NULL,NULL,-96,0x00000001D2BEC8FD
20054,53ET3X,53ET3X-90,Zinc Paint,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0x00000001BF147E93
16849,53ET3X,53ET3X-82,* Axle Spacing 49 in.,1,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,0,0x00000001BF147E82
466,53ET3X,53ET3X-57,* Disc Brakes (PAN 22 Axles - Tires Size 22.5 or 24.5),1,SUSPENSION/AXLES,40,Brakes,40,* Disc Brakes (PAN 22 Axles - Tires Size 22.5 or 24.5),0,0,0,NULL,NULL,0,0x00000001BF147E1A
467,53ET3X,53ET3X-58,"Alum. Wheel Pkg. 22.5  (6 machined, 6 polished)",1,SUSPENSION/AXLES,40,Wheels,110,"~8.25 x 22.5 Steel Disc - painted white~.~Alum. Wheel Pkg. 22.5  (6 machined, 6 polished)~",0,0,0,NULL,NULL,-95,0x00000001BF147E1B
474,53ET3X,53ET3X-59,"Alum. Wheel Pkg. 22.5  (6 steel, 6 polished)",1,SUSPENSION/AXLES,40,Wheels,110,"~8.25 x 22.5 Steel Disc - painted white~.~Alum. Wheel Pkg. 22.5  (6 steel, 6 polished)~",0,0,0,NULL,NULL,-95,0x00000001BF147E1C
735,53ET3X,53ET3X-48,"20,000 lbs electric Winch with 90 Ft of Cable installed in Gooseneck comes with lead/live roll at front of Gooseneck (Curb Side)",1,GOOSENECK,7,Winch,90,"20,000 lbs electric Winch with 90 Ft of Cable installed in Gooseneck comes with lead/live roll at front of Gooseneck (Curb Side)",0,0,0,NULL,NULL,0,0x00000001BF147E1D
748,53ET3X,53ET3X-29,Winches (3 Bar Weld On) #14001NP side mount (hooks not included) BWS #24077,1,DECK,19,Load Securement,210,Winches (3 Bar Weld On) #14001NP side mount (hooks not included),0,0,0,NULL,NULL,0,0x00000001BF147E1E
749,53ET3X,53ET3X-51,* 38 in. x 76 in. Air Operated Planked In,1,RAMPS,46,Rear,10,* 38 in. x 76 in. Air Operated Planked In,0,0,0,NULL,NULL,0,0x00000001BF147E1F
842,53ET3X,53ET3X-52,* Disc Brakes (PAN 17 Axles - Tires Size 17.5),1,SUSPENSION/AXLES,40,Brakes,40,* Disc Brakes (PAN 17 Axles - Tires Size 17.5),0,0,0,NULL,NULL,0,0x00000001BF147E20
1266,53ET3X,53ET3X-02,Dual Holland Mark V 2 Speed Landing Gear,1,DECK,19,Landing Gear,80,Dual Holland Mark V 2 Speed,0,0,0,NULL,NULL,0,0x00000001BF147E21
1285,53ET3X,53ET3X-53,* Moulded Rub Rail and Stake Pockets and Spools 24 in. OC-Inside nominal width,1,DECK,19,Load Securement,90,*Moulded Rub Rail and Stake Pockets and Spools 24 in. OC (overall width not effected),0,0,0,NULL,NULL,0,0x00000001BF147E22
1336,53ET3X,53ET3X-54,Upgrade to 255/70R22.5 Tires and 10 stud Unimount Rims/Axles with Heavy Duty Fenders and Grousar Bars,1,SUSPENSION/AXLES,40,Tires,100,255/70R22.5,0,0,0,NULL,NULL,0,0x00000001BF156841
1337,53ET3X,53ET3X-55,Heavy Duty Fenders (17.5),1,GENERAL SPECIFICATIONS,73,Fenders,80,5/16 in. heavy duty smooth plate fenders - WITH grouser,0,0,0,NULL,NULL,0,0x00000001BF156763
1441,53ET3X,53ET3X-56,"*15,000 lbs Electric Winch with 90 ft. of Cable c/w 2 Lead Live Roll - Located on top of GNK",1,GOOSENECK,7,Winch,90,"*15,000 lbs Electric Winch with 90 ft. of Cable c/w 2 Lead Live Roll - Located on top of GNK",0,0,0,NULL,NULL,0,0x00000001BF147E25
2293,53ET3X,53ET3X-03,1 1/8 inch All Keruing/Apitong Floor-GNK Only,1,GOOSENECK,7,Floor,70,1 1/8 inch All Keruing/Apitong Floor,0,0,0,NULL,NULL,0,0x00000001BF147E26
2294,53ET3X,53ET3X-04,Headboard Pockets and Rub Rail,1,GOOSENECK,7,Load Securement,100,Headboard Pockets and Rub Rail,0,0,0,NULL,NULL,0,0x00000001BF147E27
2295,53ET3X,53ET3X-05,"*15,000 lbs Electric Winch with 90 ft. of Cable c/w Lead Live Roll - Located in Kick",1,GOOSENECK,7,Winch,90,"*15,000 lbs Electric Winch with 90 ft. of Cable c/w Lead Live Roll - Located in Kick",0,0,0,NULL,NULL,0,0x00000001BF147E28
2296,53ET3X,53ET3X-06,* Moulded Rub Rail and Stake Pockets and Spools 24 in. OC (Increase width of Trailer by 4 in.) Outside Nominal Width,1,DECK,19,Load Securement,90,"* Moulded Rub Rail, Stake Pockets and Spools 24 in. OC (Over all Width affected by option as shown)",0,0,0,NULL,NULL,0,0x00000001BF147E29
2297,53ET3X,53ET3X-07,* Moulded Rub Rail and Stake Pockets and Spools 48 in. OC (Increase width of Trailer by 4 in.) Outside Nominal Width,1,DECK,19,Load Securement,90,* Moulded Rub Rail and Stake Pockets and Spools 48 in. OC (Over all Width affected by option as shown),0,0,0,NULL,NULL,0,0x00000001BF147E2A
2298,53ET3X,53ET3X-08,Heavy duty Rub Rail 3/8 in. X 3 in. In lieu of Moulded Rubrail,1,DECK,19,Load Securement,90,~Moulded Rub Rail~.~ Heavy Duty Rub Rail 3/8 in. X 3 in.~,0,0,0,NULL,NULL,-95,0x00000001BF147E2B
2299,53ET3X,53ET3X-10,1 1/8 inch All Keruing/Apitong Floor-Deck Only,1,DECK,19,Floor,70,"1 1/8 inch All Keruing/Apitong Floor, 3/16 in. Formed Deck Plate over Wheels",0,0,0,NULL,NULL,0,0x00000001BF147E2C
2300,53ET3X,53ET3X-11,* 114 in. width excluding load securement devices (over width permits may be required),1,TRAILER,1,Overall Width,20,12,0,0,0,NULL,NULL,-99,0x00000001BF147E2D
2301,53ET3X,53ET3X-12,* 120 in. width excluding load securement devices (over width permits may be required),1,TRAILER,1,Overall Width,20,18,0,0,0,NULL,NULL,-99,0x00000001BF147E2E
2302,53ET3X,53ET3X-14,Air Lift c/w  Control Box,1,SUSPENSION/AXLES,40,Air Lift,11,Air Lift c/w  Control Box,0,0,0,NULL,NULL,0,0x00000001BF147E2F
2303,53ET3X,53ET3X-15,Alum. Wheel Pkg. 17.5  (12 polished),1,SUSPENSION/AXLES,40,Wheels,110,Alum. Wheel Pkg. 17.5  (12 polished),0,0,0,NULL,NULL,0,0x00000001BF147E30
