IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
40305,53ET3X,53ET3X-044,GENERAL SPECIFICATIONS,Fenders,3/16 in. Formed Deck Plate,NULL,NULL,NULL,NULL,NULL,73,80,NULL
20785,53ET3X,53ET3X-001,TRAILER,Overall Length,53 ft.,2011-11-01,2012-06-30,1,1,0,1,10,NULL
20786,53ET3X,53ET3X-002,TRAILER,Overall Width,102 in.,2011-11-01,2012-06-30,1,2,0,1,20,NULL
20787,53ET3X,53ET3X-003,TRAILER,Weight lbs +/- 2%,"15,900",2011-11-01,2012-06-30,1,3,0,1,30,NULL
20788,53ET3X,53ET3X-004,GOOSENECK,Length,10 ft. 6 in.,2011-11-01,2012-06-30,2,4,0,7,40,NULL
20789,53ET3X,53ET3X-005,GOOSENECK,Cross Members,Hi-Tensile 4 in. Jr. I-beam @ 16 in. O/C,2011-11-01,2012-06-30,2,5,0,7,50,NULL
20790,53ET3X,53ET3X-006,GOOSENECK,Coupler,Weld in King Pin,2011-11-01,2012-06-30,2,1,0,7,10,NULL
20791,53ET3X,53ET3X-007,GOOSENECK,Coupler Plate,"5/16 in. Hi-Tensile, 48 in. Height",2011-11-01,2012-06-30,2,2,0,7,20,NULL
20792,53ET3X,53ET3X-008,GOOSENECK,Coupler Location,18 in.,2011-11-01,2012-06-30,2,3,0,7,30,NULL
20793,53ET3X,53ET3X-009,GOOSENECK,Swing Clearance,83 in.,2011-11-01,2012-06-30,2,6,0,7,60,NULL
20794,53ET3X,53ET3X-010,GOOSENECK,Floor,1 1/2 in. Softwood,2011-11-01,2012-06-30,2,7,0,7,70,NULL
20795,53ET3X,53ET3X-011,DECK,Deck Length,35 ft. 1 in.,2011-11-01,2012-06-30,5,1,0,19,10,NULL
20819,53ET3X,53ET3X-012,DECK,Loaded Deck Height,35 in.,2011-11-01,2012-06-30,5,2,0,19,20,NULL
20820,53ET3X,53ET3X-013,DECK,Main Frame,3/8 in. x 5 in. Top and Bottom Flanges 100 KSI,2011-11-01,2012-06-30,5,3,0,19,30,NULL
21054,53ET3X,53ET3X-014,DECK,Cross Members,Hi-Tensile Standard 4 in. I-beam @ 12 in. O/C on Lower Deck w/ Knee Braces,2011-11-01,2012-06-30,5,4,0,19,40,NULL
21729,53ET3X,53ET3X-015,DECK,Side Rail,6 in. @ 8.2 Channel,2011-11-01,2012-06-30,5,5,0,19,50,NULL
21730,53ET3X,53ET3X-016,DECK,Web,3/16 in. Hi-Tensile,2011-11-01,2012-06-30,5,6,0,19,60,NULL
21731,53ET3X,53ET3X-017,DECK,Floor,"1 1/2 in. Hardwood outside the Main Beam, 1 1/2 in. Softwood between Main Beams",2011-11-01,2012-06-30,5,7,0,19,70,NULL
21732,53ET3X,53ET3X-018,DECK,Landing Gear,Dual 2 Speed,2011-11-01,2012-06-30,5,8,0,19,80,NULL
21733,53ET3X,53ET3X-020,SUSPENSION/AXLES,Axles,"25,000 lbs Capacity",2011-11-01,2012-06-30,7,1,0,40,10,NULL
21734,53ET3X,53ET3X-021,SUSPENSION/AXLES,Spread,61 in.,2011-11-01,2012-06-30,7,2,0,40,20,NULL
21735,53ET3X,53ET3X-022,SUSPENSION/AXLES,Suspension,"Ridewell RAR 260 U/S 6 1/2 in. Air Ride 25,000 lbs - includes air gauge and dump valve in enclosure",2011-11-01,2012-06-30,7,3,0,40,30,NULL
21736,53ET3X,53ET3X-023,SUSPENSION/AXLES,Brakes,Quick Change 12 1/4 in. x 7 in.,2011-11-01,2012-06-30,7,4,0,40,40,NULL
21737,53ET3X,53ET3X-024,SUSPENSION/AXLES,Brake Chamber,"#3030,  All Axles",2011-11-01,2012-06-30,7,5,0,40,50,NULL
21738,53ET3X,53ET3X-025,SUSPENSION/AXLES,Air Brake System,2S/1M,2011-11-01,2012-06-30,7,6,0,40,60,NULL
21739,53ET3X,53ET3X-026,SUSPENSION/AXLES,Slack Adjusters,Automatic,2011-11-01,2012-06-30,7,7,0,40,70,NULL
21740,53ET3X,53ET3X-027,SUSPENSION/AXLES,Camshafts,28 Spline Non Enclosed,2011-11-01,2012-06-30,7,8,0,40,80,NULL
21741,53ET3X,53ET3X-028,SUSPENSION/AXLES,Hubs & Drums,8 Stud Unimount C / W Cast Drums,2011-11-01,2012-06-30,7,9,0,40,90,NULL
21742,53ET3X,53ET3X-029,SUSPENSION/AXLES,Tires,235/75R17.5 16 Ply,2011-11-01,2012-06-30,7,10,0,40,100,NULL
21743,53ET3X,53ET3X-030,SUSPENSION/AXLES,Wheels,6.75 x 17.5 Steel Disc - Painted White,2011-11-01,2012-06-30,7,11,0,40,110,NULL
21744,53ET3X,53ET3X-031,BEAVERTAIL,Length,"6 ft. @ 8 degree slope, Planked",2011-11-01,2012-06-30,8,NULL,0,43,10,NULL
21745,53ET3X,53ET3X-032,RAMPS,Rear,38 in. x 76 in. Air Operated Self Cleaning,2011-11-01,2012-06-30,9,1,0,46,10,NULL
21746,53ET3X,53ET3X-034,GENERAL SPECIFICATIONS,Electrical System,"Modular, Vapor Proof GROTE Ultra Blue",2011-11-01,2012-06-30,10,1,0,73,10,NULL
21747,53ET3X,53ET3X-035,GENERAL SPECIFICATIONS,Front Connector,SAE J560 7 Pin,2011-11-01,2012-06-30,10,2,0,73,20,NULL
21748,53ET3X,53ET3X-036,GENERAL SPECIFICATIONS,Rear Connector,4 Pin Plug,2011-11-01,2012-06-30,10,3,0,73,30,NULL
21749,53ET3X,53ET3X-037,GENERAL SPECIFICATIONS,Lights,LED CMVSS 108 / FMVSS 108,2011-11-01,2012-06-30,10,4,0,73,40,NULL
21750,53ET3X,53ET3X-039,GENERAL SPECIFICATIONS,Finishing,"Preparation by Steel Shot Blast, Commercial / Industrial Topcoat, Oven Baked",2011-11-01,2012-06-30,10,6,0,73,50,NULL
21751,53ET3X,53ET3X-040,GENERAL SPECIFICATIONS,Color,Black,2011-11-01,2012-06-30,10,7,0,73,60,NULL
21752,53ET3X,53ET3X-042,GENERAL SPECIFICATIONS,Mudflaps,1 set of BWS at rear,2011-11-01,2012-06-30,10,9,0,73,70,NULL
23671,53ET3X,53ET3X-043,GOOSENECK,Web,1/4 in. Hi-Tensile,2011-11-01,2012-06-30,2,8,0,7,80,NULL
