ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
2891461,PB17,PB17-000,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,0.0000,TRAILER,"NO OPTIONS FOR THIS WORK ORDER",0,NULL,0,NULL,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C45,0.0000
2891462,PB17,PB17-20,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,644.3300,GENERAL SPECIFICATIONS,"Aluminum Calcium Tank",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C46,495.6400
2891463,PB17,PB17-21,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,515.4600,GENERAL SPECIFICATIONS,"Steel Calcium Tank",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C47,396.5100
2891464,PB17,PB17-22,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,252.5800,GENERAL SPECIFICATIONS,"Lights in Tailgate (qty of 7)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C48,194.2900
2891465,PB17,PB17-23,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,GENERAL SPECIFICATIONS,"Extra Lights in Bottom Rail (set)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C49,55.5100
2891466,PB17,PB17-24,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,GENERAL SPECIFICATIONS,"Extra lights in Top Rail (set)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C4A,55.5100
2891467,PB17,PB17-25,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,216.4900,GENERAL SPECIFICATIONS,"Lights in Tailgate Posts (3 per side)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C4B,166.5300
2891468,PB17,PB17-26,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,GENERAL SPECIFICATIONS,"Back up Lights",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C4C,158.6000
2891469,PB17,PB17-27,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,GENERAL SPECIFICATIONS,"Side Signal below Rail",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C4D,158.6000
2891470,PB17,PB17-28,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,335.0500,BODY,"8 in. Tailgate Wing",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C4E,257.7300
2891471,PB17,PB17-29,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,386.6000,BODY,"10 in. Tailgate Wing",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C4F,297.3800
2891472,PB17,PB17-34,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,670.1000,BODY,"Grain Door",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C50,515.4600
2891473,PB17,PB17-35,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,185.5700,BODY,"Compression Locks  (1 set)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C51,142.7400
2891474,PB17,PB17-36,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,927.8400,BODY,"Man Door",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C52,713.7200
2891475,PB17,PB17-39,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,2319.5900,BODY,"3/8 Floor with fork lift package",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C53,1784.3000
2891476,PB17,PB17-40,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,1005.1500,BODY,"Fork Lift Package",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C54,773.2000
2891477,PB17,PB17-42,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,309.2800,BODY,"Curved Header Pipe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C55,237.9100
2891478,PB17,PB17-44,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,BODY,"Slid n Go Mesh Flip Tarp, Manual/Electric",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F399C56,0.0000
