IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
7120553,PB17,PB17-026,GENERAL SPECIFICATIONS,Electrical System,"LED Grote",NULL,NULL,10,1,NULL,73,10,NULL
7120554,PB17,PB17-055,STRUCTURE,Rear Steps,"Outside and Inside, located on Driver Side",NULL,NULL,NULL,NULL,NULL,16,330,NULL
7120555,PB17,PB17-061,STRUCTURE,Hoist,"No",NULL,NULL,NULL,NULL,NULL,16,270,NULL
7120556,PB17,PB17-062,STRUCTURE,Grain Door,"No",NULL,NULL,NULL,NULL,NULL,16,260,NULL
7120557,PB17,PB17-075,STRUCTURE,Fork Lift Package,"No",NULL,NULL,NULL,NULL,NULL,16,130,NULL
7120558,PB17,PB17-077,STRUCTURE,Floor,"1/4 in. 6061",NULL,NULL,NULL,NULL,NULL,16,110,NULL
7120559,PB17,PB17-085,STRUCTURE,Height,"48 in.",NULL,NULL,NULL,NULL,NULL,16,30,NULL
7120560,PB17,PB17-087,STRUCTURE,Box Style,"Aluminum",NULL,NULL,NULL,NULL,NULL,16,10,NULL
7120561,PB17,PB17-031,GENERAL SPECIFICATIONS,Color,"Polished Aluminum",NULL,NULL,NULL,NULL,NULL,73,120,NULL
7120562,PB17,PB17-033,GENERAL SPECIFICATIONS,Shovel Holder,"Included, located at front",NULL,NULL,NULL,NULL,NULL,73,150,NULL
7120563,PB17,PB17-073,STRUCTURE,Side Boards,"2 in. x 12 in.",NULL,NULL,NULL,NULL,NULL,16,150,NULL
7120564,PB17,PB17-074,STRUCTURE,Liner,"No",NULL,NULL,NULL,NULL,NULL,16,140,NULL
7120565,PB17,PB17-082,STRUCTURE,Bulkhead,"58 1/4 in.",NULL,NULL,NULL,NULL,NULL,16,60,NULL
7120566,PB17,PB17-083,STRUCTURE,Tongue Clean offs,"Bolt on, Aluminum",NULL,NULL,NULL,NULL,NULL,16,50,NULL
7120567,PB17,PB17-084,STRUCTURE,Coupler,"Bolt on Eye",NULL,NULL,NULL,NULL,NULL,16,40,NULL
7120568,PB17,PB17-050,STRUCTURE,Hydraulic Lines,"1 in. SCH 40 NPP",NULL,NULL,NULL,NULL,NULL,16,380,NULL
7120569,PB17,PB17-090,TRAILER,Weight lbs +/- 2%,"3,200",NULL,NULL,NULL,NULL,NULL,1,60,NULL
7120570,PB17,PB17-056,STRUCTURE,Front Steps,"Outside Bulkhead and Inside Wall, located on Driver side",NULL,NULL,NULL,NULL,NULL,16,320,NULL
7120571,PB17,PB17-027,GENERAL SPECIFICATIONS,Tailgate Lights,"No",NULL,NULL,10,3,NULL,73,50,NULL
