ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
2891581,Pony Chassis 3X,Pony Chassis 3X-17,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,559.8188,PAINT," Yellow - PPG#920612",0,NULL,0,NULL,21,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F3E5025,NULL
2891582,Pony Chassis 3X,Pony Chassis 3X-18,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,559.8188,PAINT," Red - PPG#911722",0,NULL,0,NULL,21,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F3E5026,NULL
2891583,Pony Chassis 3X,Pony Chassis 3X-000,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,0.0000,TRAILER,"NO OPTIONS FOR THIS WORK ORDER",0,NULL,0,NULL,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E5027,NULL
2891584,Pony Chassis 3X,Pony Chassis 3X-19,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,618.5600,SUSPENSION/AXLES,"Aluminum Air Tanks",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E5028,475.8100
2891585,Pony Chassis 3X,Pony Chassis 3X-23,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,LIGHTING/ELECTRICAL,"Extra Lights in Bottom Rail (set)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E5029,55.5100
2891586,Pony Chassis 3X,Pony Chassis 3X-24,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,LIGHTING/ELECTRICAL,"Extra lights in Top Rail (set)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E502A,55.5100
2891587,Pony Chassis 3X,Pony Chassis 3X-26,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,LIGHTING/ELECTRICAL,"Back up Lights",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E502B,158.6000
2891588,Pony Chassis 3X,Pony Chassis 3X-27,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,LIGHTING/ELECTRICAL,"Side Signal below Rail",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E502C,158.6000
2891589,Pony Chassis 3X,Pony Chassis 3X-30,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,41.2400,SUSPENSION/AXLES,"24.5 Rims (each)",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E502D,31.7200
2891590,Pony Chassis 3X,Pony Chassis 3X-31,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,30.9300,SUSPENSION/AXLES,"24.5 Continental Tires (each)",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F3E502E,23.7900
