IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
7120761,Pony Chassis 3X,Pony Chassis 3X-014,SUSPENSION/AXLES,Spread,"72-100",NULL,NULL,7,2,NULL,40,20,NULL
7120762,Pony Chassis 3X,Pony Chassis 3X-049,CHASSIS,Frame Type,"Steel",NULL,NULL,NULL,NULL,NULL,28,10,NULL
7120763,Pony Chassis 3X,Pony Chassis 3X-104,SUSPENSION/AXLES,Schrader Valve,"No",NULL,NULL,NULL,NULL,NULL,40,170,NULL
7120764,Pony Chassis 3X,Pony Chassis 3X-098,SUSPENSION/AXLES,Brakes,"16.5 x 7 in. Extended Life Lining",NULL,NULL,NULL,NULL,NULL,40,80,NULL
7120765,Pony Chassis 3X,Pony Chassis 3X-103,SUSPENSION/AXLES,Air Gauge,"Located in Control Box",NULL,NULL,NULL,NULL,NULL,40,160,NULL
7120766,Pony Chassis 3X,Pony Chassis 3X-111,GENERAL SPECIFICATIONS,Document Holder,"Located behind landing gear",NULL,NULL,NULL,NULL,NULL,73,190,NULL
7120767,Pony Chassis 3X,Pony Chassis 3X-111,GENERAL SPECIFICATIONS,Document Holder,"Located behind landing gear",NULL,NULL,NULL,NULL,NULL,73,190,NULL
7120768,Pony Chassis 3X,Pony Chassis 3X-035,GENERAL SPECIFICATIONS,Toolbox,"Located in tongue with Aluminum cover",NULL,NULL,NULL,NULL,NULL,73,130,NULL
7120769,Pony Chassis 3X,Pony Chassis 3X-090,TRAILER,Weight lbs +/- 2%,"9,700",NULL,NULL,NULL,NULL,NULL,1,60,NULL
7120770,Pony Chassis 3X,Pony Chassis 3X-096,SUSPENSION/AXLES,Air Tanks,"Steel",NULL,NULL,NULL,NULL,NULL,40,60,NULL
7120771,Pony Chassis 3X,Pony Chassis 3X-107,GENERAL SPECIFICATIONS,Back up Lights,"No",NULL,NULL,NULL,NULL,NULL,73,40,NULL
7120772,Pony Chassis 3X,Pony Chassis 3X-018,SUSPENSION/AXLES,Air Brake System,"Meritor Wabco 4S/2M with Sealco Valves",NULL,NULL,7,6,NULL,40,100,NULL
7120773,Pony Chassis 3X,Pony Chassis 3X-031,GENERAL SPECIFICATIONS,Color,"Black",NULL,NULL,NULL,NULL,NULL,73,120,NULL
7120774,Pony Chassis 3X,Pony Chassis 3X-047,CHASSIS,Beams,"T 1 Steel",NULL,NULL,NULL,NULL,NULL,28,30,NULL
7120775,Pony Chassis 3X,Pony Chassis 3X-105,SUSPENSION/AXLES,Tires,"12 of 11R22.5 Continental HRS2",NULL,NULL,NULL,NULL,NULL,40,200,NULL
7120776,Pony Chassis 3X,Pony Chassis 3X-092,TRAILER,Center of pintle to rear axle,"37 ft. 10 in.",NULL,NULL,NULL,NULL,NULL,1,40,NULL
7120777,Pony Chassis 3X,Pony Chassis 3X-023,SUSPENSION/AXLES,Wheels,"12 of 8.25 x 22.5 Steel Disc, Painted White",NULL,NULL,7,11,NULL,40,210,NULL
7120778,Pony Chassis 3X,Pony Chassis 3X-045,CHASSIS,Flanges,"3/8 in. Domex 100 XF Top and Bottom",NULL,NULL,NULL,NULL,NULL,28,70,NULL
7120779,Pony Chassis 3X,Pony Chassis 3X-028,GENERAL SPECIFICATIONS,Lights,"3 of LED in sidrail including Turn Signal and Red Turn Signal on Tongue",NULL,NULL,10,2,NULL,73,30,NULL
7120780,Pony Chassis 3X,Pony Chassis 3X-044,CHASSIS,Landing Gear,"Jost 2 Speed, single Leg",NULL,NULL,NULL,NULL,NULL,28,80,NULL
7120781,Pony Chassis 3X,Pony Chassis 3X-106,GENERAL SPECIFICATIONS,Front Connector,"Phillip # 15-730 and 15-830 ISO Plug",NULL,NULL,NULL,NULL,NULL,73,20,NULL
7120782,Pony Chassis 3X,Pony Chassis 3X-101,SUSPENSION/AXLES,Camshafts,"28 Spline, Enclosed",NULL,NULL,NULL,NULL,NULL,40,140,NULL
7120783,Pony Chassis 3X,Pony Chassis 3X-113,GENERAL SPECIFICATIONS,Mudflaps,"Stargate, 1 set at rear of steer axle, 2 set in front of ride axles and 3 at rear",NULL,NULL,NULL,NULL,NULL,73,180,NULL
7120784,Pony Chassis 3X,Pony Chassis 3X-013,SUSPENSION/AXLES,Axles,"77 1.2 in. track, 30,000 lb Capacity",NULL,NULL,7,1,NULL,40,10,NULL
7120785,Pony Chassis 3X,Pony Chassis 3X-021,SUSPENSION/AXLES,Hubs & Drums,"10 Stud, Duralite Hubs with Cast Centrifuse Drums",NULL,NULL,7,9,NULL,40,180,NULL
7120786,Pony Chassis 3X,Pony Chassis 3X-100,SUSPENSION/AXLES,Slack Adjusters,"Webb",NULL,NULL,NULL,NULL,NULL,40,130,NULL
7120787,Pony Chassis 3X,Pony Chassis 3X-046,CHASSIS,Web Plate,"Domex 100 XF",NULL,NULL,NULL,NULL,NULL,28,60,NULL
7120788,Pony Chassis 3X,Pony Chassis 3X-097,SUSPENSION/AXLES,Wheel Monitor,"RM 50",NULL,NULL,NULL,NULL,NULL,40,70,NULL
7120789,Pony Chassis 3X,Pony Chassis 3X-102,SUSPENSION/AXLES,Control Box,"Stainless, Located between 1st and 2nd Axle",NULL,NULL,NULL,NULL,NULL,40,150,NULL
7120790,Pony Chassis 3X,Pony Chassis 3X-015,SUSPENSION/AXLES,Suspension,"2 of Hendrickson Intraax, #98856 and 1 of Hendrickson Liftable Steer, Connexst 158, 15 in. Ride Height",NULL,NULL,7,3,NULL,40,30,NULL
7120791,Pony Chassis 3X,Pony Chassis 3X-026,GENERAL SPECIFICATIONS,Electrical System,"LED Grote",NULL,NULL,10,1,NULL,73,10,NULL
7120792,Pony Chassis 3X,Pony Chassis 3X-099,SUSPENSION/AXLES,Brake Chambers,"TSE 3030 Long Stroke",NULL,NULL,NULL,NULL,NULL,40,90,NULL
7120793,Pony Chassis 3X,Pony Chassis 3X-048,CHASSIS,Frame Length,"40 ft. 10  in.",NULL,NULL,NULL,NULL,NULL,28,20,NULL
