ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
646753,Pony Dump 3X17,Pony Dump 3X17-27,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,208.0000,LIGHTING/ELECTRICAL,"Side Signal below Rail",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EBD,NULL
646775,Pony Dump 3X17,Pony Dump 3X17-000,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,0.0000,TRAILER,"NO OPTIONS FOR THIS WORK ORDER",0,NULL,0,NULL,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EBE,NULL
647854,Pony Dump 3X17,Pony Dump 3X17-19,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,624.0000,SUSPENSION/AXLES,"Aluminum Air Tanks",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EBF,NULL
647855,Pony Dump 3X17,Pony Dump 3X17-20,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,650.0000,GENERAL SPECIFICATIONS,"Aluminum Calcium Tank",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC0,NULL
647856,Pony Dump 3X17,Pony Dump 3X17-21,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,520.0000,GENERAL SPECIFICATIONS,"Steel Calcium Tank",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC1,NULL
647857,Pony Dump 3X17,Pony Dump 3X17-22,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,254.8000,LIGHTING/ELECTRICAL,"Lights in Tailgate (qty of 7)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC2,NULL
647858,Pony Dump 3X17,Pony Dump 3X17-23,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.8000,LIGHTING/ELECTRICAL,"Extra Lights in Bottom Rail (set)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC3,NULL
647859,Pony Dump 3X17,Pony Dump 3X17-24,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.8000,LIGHTING/ELECTRICAL,"Extra lights in Top Rail (set)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC4,NULL
647860,Pony Dump 3X17,Pony Dump 3X17-25,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,218.4000,LIGHTING/ELECTRICAL,"Lights in Tailgate Posts (3 per side)",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC5,NULL
647861,Pony Dump 3X17,Pony Dump 3X17-26,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,208.0000,LIGHTING/ELECTRICAL,"Back up Lights",NULL,NULL,NULL,NULL,19,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC6,NULL
647905,Pony Dump 3X17,Pony Dump 3X17-28,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,338.0000,ACCESSORIES,"8 in. Tailgate Wing",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC7,NULL
647906,Pony Dump 3X17,Pony Dump 3X17-29,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,390.0000,ACCESSORIES,"10 in. Tailgate Wing",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC8,NULL
647907,Pony Dump 3X17,Pony Dump 3X17-30,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,499.2000,SUSPENSION/AXLES,"24.5 Rims",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EC9,NULL
