IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
2990136,Pony Dump 3X17,Pony Dump 3X17-023,SUSPENSION/AXLES,Wheels,"12 of 8.25 x 22.5 Steel Disc, Painted White",NULL,NULL,7,11,NULL,40,210,NULL
2990137,Pony Dump 3X17,Pony Dump 3X17-087,BODY,Box Style,"Aluminum",NULL,NULL,NULL,NULL,NULL,34,10,NULL
2990138,Pony Dump 3X17,Pony Dump 3X17-098,SUSPENSION/AXLES,Brakes,"16.5 x 7 in. Extended Life Lining",NULL,NULL,NULL,NULL,NULL,40,80,NULL
2990204,Pony Dump 3X17,Pony Dump 3X17-014,SUSPENSION/AXLES,Spread,"72-100",NULL,NULL,7,2,NULL,40,20,NULL
2990205,Pony Dump 3X17,Pony Dump 3X17-115,GENERAL SPECIFICATIONS,Rear Post Lights,"No",NULL,NULL,NULL,NULL,NULL,73,60,NULL
2990206,Pony Dump 3X17,Pony Dump 3X17-018,SUSPENSION/AXLES,Air Brake System,"Meritor Wabco 4S/2M with Sealco Valves",NULL,NULL,7,6,NULL,40,100,NULL
2990207,Pony Dump 3X17,Pony Dump 3X17-035,GENERAL SPECIFICATIONS,Toolbox,"Located in tongue with Aluminum cover",NULL,NULL,NULL,NULL,NULL,73,130,NULL
2990208,Pony Dump 3X17,Pony Dump 3X17-044,CHASSIS,Landing Gear,"Jost 2 Speed, single Leg",NULL,NULL,NULL,NULL,NULL,28,80,NULL
2990209,Pony Dump 3X17,Pony Dump 3X17-046,CHASSIS,Web Plate,"Domex 100 XF",NULL,NULL,NULL,NULL,NULL,28,60,NULL
2990210,Pony Dump 3X17,Pony Dump 3X17-068,BODY,Tailgate Hinge Style,"Top Hinge",NULL,NULL,NULL,NULL,NULL,34,200,NULL
2990211,Pony Dump 3X17,Pony Dump 3X17-088,TRAILER,Cubic Capacity w/boards,"25 cubic yards with 12 in. Boards",NULL,NULL,NULL,NULL,NULL,1,80,NULL
2990212,Pony Dump 3X17,Pony Dump 3X17-054,BODY,Tarp,"Cramaro Flip Style",NULL,NULL,NULL,NULL,NULL,34,340,NULL
2990213,Pony Dump 3X17,Pony Dump 3X17-056,BODY,Front Steps,"Outside Bulkhead and Inside Wall, located on Driver side",NULL,NULL,NULL,NULL,NULL,34,320,NULL
2990215,Pony Dump 3X17,Pony Dump 3X17-080,BODY,Side Panels,"3/32 in. and 1/8 in.",NULL,NULL,NULL,NULL,NULL,34,80,NULL
2990216,Pony Dump 3X17,Pony Dump 3X17-083,CHASSIS,Tongue Clean offs,"Bolt on, Aluminum",NULL,NULL,NULL,NULL,NULL,28,100,NULL
2990217,Pony Dump 3X17,Pony Dump 3X17-092,TRAILER,Center of pintle to rear axle,"37 ft. 10 in.",NULL,NULL,NULL,NULL,NULL,1,40,NULL
2990218,Pony Dump 3X17,Pony Dump 3X17-100,SUSPENSION/AXLES,Slack Adjusters,"Webb",NULL,NULL,NULL,NULL,NULL,40,130,NULL
2990219,Pony Dump 3X17,Pony Dump 3X17-103,SUSPENSION/AXLES,Air Gauge,"Located in Control Box",NULL,NULL,NULL,NULL,NULL,40,160,NULL
2990220,Pony Dump 3X17,Pony Dump 3X17-027,GENERAL SPECIFICATIONS,Tailgate Lights,"No",NULL,NULL,10,3,NULL,73,50,NULL
2990221,Pony Dump 3X17,Pony Dump 3X17-048,CHASSIS,Frame Length,"40 ft.  10 in.",NULL,NULL,NULL,NULL,NULL,28,20,NULL
2990222,Pony Dump 3X17,Pony Dump 3X17-058,BODY,Slope,"Full Slope",NULL,NULL,NULL,NULL,NULL,34,300,NULL
2990223,Pony Dump 3X17,Pony Dump 3X17-060,BODY,Hoist Pin Height,"35 3/4 in.",NULL,NULL,NULL,NULL,NULL,34,280,NULL
2990224,Pony Dump 3X17,Pony Dump 3X17-063,BODY,Spreader Chains,"Included, Used to control the opening of the tailgate",NULL,NULL,NULL,NULL,NULL,34,250,NULL
2990225,Pony Dump 3X17,Pony Dump 3X17-077,BODY,Floor,"1/4 in. 6061",NULL,NULL,NULL,NULL,NULL,34,110,NULL
2990226,Pony Dump 3X17,Pony Dump 3X17-081,BODY,Walls,"Dura-Wall, Polished",NULL,NULL,NULL,NULL,NULL,34,70,NULL
2990227,Pony Dump 3X17,Pony Dump 3X17-095,TRAILER,Overall Length,"40 ft. 10 in.",NULL,NULL,NULL,NULL,NULL,1,10,NULL
2990228,Pony Dump 3X17,Pony Dump 3X17-108,GENERAL SPECIFICATIONS,Rear Plate,"No",NULL,NULL,NULL,NULL,NULL,73,70,NULL
2990229,Pony Dump 3X17,Pony Dump 3X17-015,SUSPENSION/AXLES,Suspension,"2 of Hendrickson Intraax, #98856 and 1 of IMT liftable Self Steer, 15 in. Ride Height",NULL,NULL,7,3,NULL,40,30,NULL
2990231,Pony Dump 3X17,Pony Dump 3X17-051,BODY,Header Pipe Type,"Straight, located on back door for two way gate",NULL,NULL,NULL,NULL,NULL,34,370,NULL
2990232,Pony Dump 3X17,Pony Dump 3X17-064,BODY,Tailgate Seal,"5/8 in. Aluminum Round Rod",NULL,NULL,NULL,NULL,NULL,34,240,NULL
2990234,Pony Dump 3X17,Pony Dump 3X17-084,CHASSIS,Coupler,"Bolt on Eye.",NULL,NULL,NULL,NULL,NULL,28,90,NULL
2990235,Pony Dump 3X17,Pony Dump 3X17-106,GENERAL SPECIFICATIONS,Front Connector,"Phillip #15-730 and 15-830 ISO Plug",NULL,NULL,NULL,NULL,NULL,73,20,NULL
2990237,Pony Dump 3X17,Pony Dump 3X17-021,SUSPENSION/AXLES,Hubs & Drums,"10 Stud, Duralite Hubs with Centrifuse Drums",NULL,NULL,7,9,NULL,40,180,NULL
2990238,Pony Dump 3X17,Pony Dump 3X17-034,GENERAL SPECIFICATIONS,Calcium Tank,"Bracket Only, located behind toolbox",NULL,NULL,NULL,NULL,NULL,73,140,NULL
2990239,Pony Dump 3X17,Pony Dump 3X17-045,CHASSIS,Flanges,"3/8 in. Domex 100 XF Top and Bottom",NULL,NULL,NULL,NULL,NULL,28,70,NULL
2990240,Pony Dump 3X17,Pony Dump 3X17-059,BODY,Hoist Access Door,"No",NULL,NULL,NULL,NULL,NULL,34,290,NULL
2990242,Pony Dump 3X17,Pony Dump 3X17-114,GENERAL SPECIFICATIONS,Wear Pad,"No",NULL,NULL,NULL,NULL,NULL,73,220,NULL
2990243,Pony Dump 3X17,Pony Dump 3X17-033,GENERAL SPECIFICATIONS,Shovel Holder,"Included, located at front",NULL,NULL,NULL,NULL,NULL,73,150,NULL
2990245,Pony Dump 3X17,Pony Dump 3X17-069,BODY,Tailgate Locking,"Electric over Air Cylinder 4 in. x 8 in.",NULL,NULL,NULL,NULL,NULL,34,190,NULL
2990247,Pony Dump 3X17,Pony Dump 3X17-085,BODY,Height,"48 in.",NULL,NULL,NULL,NULL,NULL,34,30,NULL
2990248,Pony Dump 3X17,Pony Dump 3X17-091,TRAILER,Rear Overhang,"6 in.",NULL,NULL,NULL,NULL,NULL,1,50,NULL
2990249,Pony Dump 3X17,Pony Dump 3X17-105,SUSPENSION/AXLES,Tires,"12 of 11R22.5 Continental HRS2",NULL,NULL,NULL,NULL,NULL,40,200,NULL
2990250,Pony Dump 3X17,Pony Dump 3X17-026,GENERAL SPECIFICATIONS,Electrical System,"LED Grote",NULL,NULL,10,1,NULL,73,10,NULL
2990251,Pony Dump 3X17,Pony Dump 3X17-074,BODY,Liner,"No",NULL,NULL,NULL,NULL,NULL,34,140,NULL
2990253,Pony Dump 3X17,Pony Dump 3X17-113,GENERAL SPECIFICATIONS,Man Door,"No",NULL,NULL,NULL,NULL,NULL,73,170,NULL
2990254,Pony Dump 3X17,Pony Dump 3X17-113,GENERAL SPECIFICATIONS,Mudflaps,"Stargate, 1 set at rear of steer axle, 2 set in front of ride axles and 3 at rear",NULL,NULL,NULL,NULL,NULL,73,180,NULL
2990256,Pony Dump 3X17,Pony Dump 3X17-028,GENERAL SPECIFICATIONS,Lights,"3 lights per side in siderail, 3 lights per side at rear, 5 of 2 1/2 in. lights at center rear and 1 set midway turns located on tongue",NULL,NULL,10,2,NULL,73,30,NULL
2990257,Pony Dump 3X17,Pony Dump 3X17-031,GENERAL SPECIFICATIONS,Color,"Black",NULL,NULL,NULL,NULL,NULL,73,120,NULL
2990258,Pony Dump 3X17,Pony Dump 3X17-057,BODY,Dog House Plate,"36 in. diagonal to the pin",NULL,NULL,NULL,NULL,NULL,34,310,NULL
2990259,Pony Dump 3X17,Pony Dump 3X17-067,BODY,Compression/Winder Locks,"No",NULL,NULL,NULL,NULL,NULL,34,210,NULL
2990260,Pony Dump 3X17,Pony Dump 3X17-072,BODY,Side Board Color,"Black",NULL,NULL,NULL,NULL,NULL,34,160,NULL
2990261,Pony Dump 3X17,Pony Dump 3X17-089,TRAILER,Cubic Capacity,"20 Cubic Yards",NULL,NULL,NULL,NULL,NULL,1,70,NULL
2990262,Pony Dump 3X17,Pony Dump 3X17-111,GENERAL SPECIFICATIONS,Document Holder,"Located behind landing gear",NULL,NULL,NULL,NULL,NULL,73,190,NULL
2990263,Pony Dump 3X17,Pony Dump 3X17-111,GENERAL SPECIFICATIONS,Fenders,"1/4 in. Stainless, located on front axle",NULL,NULL,NULL,NULL,NULL,73,200,NULL
2990264,Pony Dump 3X17,Pony Dump 3X17-047,CHASSIS,Beams,"T 1 Steel",NULL,NULL,NULL,NULL,NULL,28,30,NULL
2990265,Pony Dump 3X17,Pony Dump 3X17-062,BODY,Grain Door,"No",NULL,NULL,NULL,NULL,NULL,34,260,NULL
2990266,Pony Dump 3X17,Pony Dump 3X17-097,SUSPENSION/AXLES,Wheel Monitor,"RM 50",NULL,NULL,NULL,NULL,NULL,40,70,NULL
2990268,Pony Dump 3X17,Pony Dump 3X17-049,CHASSIS,Frame Type,"Steel",NULL,NULL,NULL,NULL,NULL,28,10,NULL
2990269,Pony Dump 3X17,Pony Dump 3X17-055,BODY,Rear Steps,"Outside and Inside, located on Driver Side",NULL,NULL,NULL,NULL,NULL,34,330,NULL
2990270,Pony Dump 3X17,Pony Dump 3X17-061,BODY,Hoist,"Custom Hoist 135 (74-4561-135) with a Dumping Angle of 47 degrees",NULL,NULL,NULL,NULL,NULL,34,270,NULL
2990271,Pony Dump 3X17,Pony Dump 3X17-090,TRAILER,Weight lbs +/- 2%,"12,900",NULL,NULL,NULL,NULL,NULL,1,60,NULL
2990272,Pony Dump 3X17,Pony Dump 3X17-093,TRAILER,Overall Height to top of box side wall,"103 3/4 in.",NULL,NULL,NULL,NULL,NULL,1,30,NULL
2990273,Pony Dump 3X17,Pony Dump 3X17-107,GENERAL SPECIFICATIONS,Back up Lights,"No",NULL,NULL,NULL,NULL,NULL,73,40,NULL
2990275,Pony Dump 3X17,Pony Dump 3X17-013,SUSPENSION/AXLES,Axles,"77 1/2 in. track, 30,000 lb Capacity",NULL,NULL,7,1,NULL,40,10,NULL
2990276,Pony Dump 3X17,Pony Dump 3X17-052,BODY,Tarp Shield,"No",NULL,NULL,NULL,NULL,NULL,34,360,NULL
2990277,Pony Dump 3X17,Pony Dump 3X17-075,BODY,Fork Lift Package,"No",NULL,NULL,NULL,NULL,NULL,34,130,NULL
2990278,Pony Dump 3X17,Pony Dump 3X17-094,TRAILER,Overall Width,"102 in.",NULL,NULL,NULL,NULL,NULL,1,20,NULL
2990279,Pony Dump 3X17,Pony Dump 3X17-096,SUSPENSION/AXLES,Air Tanks,"Steel",NULL,NULL,NULL,NULL,NULL,40,60,NULL
2990280,Pony Dump 3X17,Pony Dump 3X17-101,SUSPENSION/AXLES,Camshafts,"28 Spline, enclosed",NULL,NULL,NULL,NULL,NULL,40,140,NULL
2990281,Pony Dump 3X17,Pony Dump 3X17-112,GENERAL SPECIFICATIONS,Sock Adapter,"No",NULL,NULL,NULL,NULL,NULL,73,210,NULL
2990282,Pony Dump 3X17,Pony Dump 3X17-112,GENERAL SPECIFICATIONS,Broom Holder,"Included, located at front",NULL,NULL,NULL,NULL,NULL,73,160,NULL
2990284,Pony Dump 3X17,Pony Dump 3X17-073,BODY,Side Boards,"2 in. x 12 in.",NULL,NULL,NULL,NULL,NULL,34,150,NULL
2990285,Pony Dump 3X17,Pony Dump 3X17-082,BODY,Bulkhead,"58 1/4 in.",NULL,NULL,NULL,NULL,NULL,34,60,NULL
2990286,Pony Dump 3X17,Pony Dump 3X17-102,SUSPENSION/AXLES,Control Box,"Stainless, Located between 1st and 2nd Axle",NULL,NULL,NULL,NULL,NULL,40,150,NULL
2990295,Pony Dump 3X17,Pony Dump 3X17-050,CHASSIS,Hydraulic Lines,"1 in. Sch 40, NPP",NULL,NULL,NULL,NULL,NULL,28,110,NULL
2990296,Pony Dump 3X17,Pony Dump 3X17-053,BODY,Tarp Color,"Black",NULL,NULL,NULL,NULL,NULL,34,350,NULL
2990297,Pony Dump 3X17,Pony Dump 3X17-099,SUSPENSION/AXLES,Brake Chambers,"TSE 30/30 Long Stroke",NULL,NULL,NULL,NULL,NULL,40,90,NULL
2990298,Pony Dump 3X17,Pony Dump 3X17-104,SUSPENSION/AXLES,Schrader Valve,"No",NULL,NULL,NULL,NULL,NULL,40,170,NULL
3440480,Pony Dump 3X17,Pony Dump 3X17-116,BODY,Box Length,"17 ft.",NULL,NULL,NULL,NULL,NULL,34,20,NULL
3445908,Pony Dump 3X17,Pony Dump 3X17-117,BODY,Tailgate Wall,"3/16 in.",NULL,NULL,NULL,NULL,NULL,34,180,NULL
11943291,Pony Dump 3X17,Pony Dump 3X17-118,GENERAL SPECIFICATIONS,Stainless Trim Package,"Center at rear with Stargate cutout",NULL,NULL,NULL,NULL,NULL,73,230,NULL
11944375,Pony Dump 3X17,Pony Dump 3X17-118,GENERAL SPECIFICATIONS,Stainless Trim Package,"Center at rear with Stargate cutout",NULL,NULL,NULL,NULL,NULL,73,230,NULL
11944376,Pony Dump 3X17,Pony Dump 3X17-023,SUSPENSION/AXLES,Wheels,"12 of 8.25 x 22.5 Aluminum Alcoa  Inside and Outside",NULL,NULL,7,11,NULL,40,210,NULL
11944377,Pony Dump 3X17,Pony Dump 3X17-087,BODY,Box Style,"Aluminum",NULL,NULL,NULL,NULL,NULL,34,10,NULL
11944378,Pony Dump 3X17,Pony Dump 3X17-098,SUSPENSION/AXLES,Brakes,"16.5 x 7 in. Extended Life Lining",NULL,NULL,NULL,NULL,NULL,40,80,NULL
11944379,Pony Dump 3X17,Pony Dump 3X17-014,SUSPENSION/AXLES,Spread,"72-100",NULL,NULL,7,2,NULL,40,20,NULL
11944380,Pony Dump 3X17,Pony Dump 3X17-115,GENERAL SPECIFICATIONS,Rear Post Lights,"No",NULL,NULL,NULL,NULL,NULL,73,60,NULL
11944381,Pony Dump 3X17,Pony Dump 3X17-018,SUSPENSION/AXLES,Air Brake System,"Meritor Wabco 4S/2M with Sealco Valves",NULL,NULL,7,6,NULL,40,100,NULL
11944382,Pony Dump 3X17,Pony Dump 3X17-035,GENERAL SPECIFICATIONS,Toolbox,"Located in tongue with Aluminum cover",NULL,NULL,NULL,NULL,NULL,73,130,NULL
