ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
6025604,Pony Truck Box,Pony Truck Box-000,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,0.0000,TRAILER,"NO OPTIONS FOR THIS WORK ORDER",0,NULL,0,NULL,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F43025E,NULL
6025605,Pony Truck Box,Pony Truck Box-20,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,644.3300,GENERAL SPECIFICATIONS,"Aluminum Calcium Tank",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F43025F,495.6400
6025606,Pony Truck Box,Pony Truck Box-21,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,500.0000,GENERAL SPECIFICATIONS,"Steel Calcium Tank",NULL,NULL,NULL,NULL,73,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F430260,NULL
6025607,Pony Truck Box,Pony Truck Box-22,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,252.5800,GENERAL SPECIFICATIONS,"Lights in Tailgate (qty of 7)",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430261,194.2900
6025608,Pony Truck Box,Pony Truck Box-23,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,GENERAL SPECIFICATIONS,"Extra Lights in Bottom Rail (set)",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430262,55.5100
6025609,Pony Truck Box,Pony Truck Box-24,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,72.1600,GENERAL SPECIFICATIONS,"Extra lights in Top Rail (set)",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430263,55.5100
6025610,Pony Truck Box,Pony Truck Box-25,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,216.4900,GENERAL SPECIFICATIONS,"Lights in Tailgate Posts (3 per side)",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430264,166.5300
6025611,Pony Truck Box,Pony Truck Box-26,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,GENERAL SPECIFICATIONS,"Back up Lights",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430265,158.6000
6025612,Pony Truck Box,Pony Truck Box-27,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,206.1900,GENERAL SPECIFICATIONS,"Side Signal below Rail",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430266,158.6000
6025613,Pony Truck Box,Pony Truck Box-28,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,335.0500,BODY,"8 in. Tailgate Wing",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430267,257.7300
6025614,Pony Truck Box,Pony Truck Box-29,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,412.3700,BODY,"10 in. Tailgate Wing",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430268,317.2100
6025615,Pony Truck Box,Pony Truck Box-34,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,670.1000,BODY,"Grain Door",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430269,515.4600
6025616,Pony Truck Box,Pony Truck Box-35,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,185.5700,BODY,"Compression Locks  (1 set)",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F43026A,142.7400
6025617,Pony Truck Box,Pony Truck Box-36,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,927.8400,BODY,"Man Door",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F43026B,713.7200
6025618,Pony Truck Box,Pony Truck Box-39,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,2319.5900,BODY,"3/8 Floor with fork lift package",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F43026C,1784.3000
