IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
13069809,Pony Truck Box,Pony Truck Box-026,GENERAL SPECIFICATIONS,Electrical System,"LED Grote",NULL,NULL,10,1,NULL,73,10,NULL
13069810,Pony Truck Box,Pony Truck Box-055,STRUCTURE,Rear Steps,"Outside welded, Driver Side, inside ship loose",NULL,NULL,NULL,NULL,NULL,16,330,NULL
13069811,Pony Truck Box,Pony Truck Box-061,STRUCTURE,Hoist,"Custom Hoist 84-4502-180 (ship loose)",NULL,NULL,NULL,NULL,NULL,16,270,NULL
13069812,Pony Truck Box,Pony Truck Box-062,STRUCTURE,Grain Door,"No",NULL,NULL,NULL,NULL,NULL,16,260,NULL
13069813,Pony Truck Box,Pony Truck Box-075,STRUCTURE,Fork Lift Package,"No",NULL,NULL,NULL,NULL,NULL,16,130,NULL
13069814,Pony Truck Box,Pony Truck Box-077,STRUCTURE,Floor,"1/4 in. 6061",NULL,NULL,NULL,NULL,NULL,16,110,NULL
13069815,Pony Truck Box,Pony Truck Box-085,STRUCTURE,Box Height,"48 in.",NULL,NULL,NULL,NULL,NULL,16,30,NULL
13069816,Pony Truck Box,Pony Truck Box-087,STRUCTURE,Box Style,"Aluminum",NULL,NULL,NULL,NULL,NULL,16,10,NULL
13069817,Pony Truck Box,Pony Truck Box-033,GENERAL SPECIFICATIONS,Shovel Holder,"No",NULL,NULL,NULL,NULL,NULL,73,150,NULL
13069818,Pony Truck Box,Pony Truck Box-073,STRUCTURE,Side Boards,"2 in. x 12 in.",NULL,NULL,NULL,NULL,NULL,16,150,NULL
13069819,Pony Truck Box,Pony Truck Box-074,STRUCTURE,Liner,"No",NULL,NULL,NULL,NULL,NULL,16,140,NULL
13069820,Pony Truck Box,Pony Truck Box-082,STRUCTURE,Bulkhead,"58 1/4 in.",NULL,NULL,NULL,NULL,NULL,16,60,NULL
13069821,Pony Truck Box,Pony Truck Box-083,STRUCTURE,Box Width Outside,"96 in.",NULL,NULL,NULL,NULL,NULL,16,50,NULL
13069822,Pony Truck Box,Pony Truck Box-084,STRUCTURE,Box Width Inside,"91 in.",NULL,NULL,NULL,NULL,NULL,16,40,NULL
13069823,Pony Truck Box,Pony Truck Box-050,STRUCTURE,Hydraulic Lines,"1 in. SCH 40 NPP",NULL,NULL,NULL,NULL,NULL,16,380,NULL
13069824,Pony Truck Box,Pony Truck Box-090,TRAILER,Weight lbs +/- 2%,"3,200",NULL,NULL,NULL,NULL,NULL,1,60,NULL
13069825,Pony Truck Box,Pony Truck Box-056,STRUCTURE,Front Steps,"No",NULL,NULL,NULL,NULL,NULL,16,320,NULL
13069826,Pony Truck Box,Pony Truck Box-115,GENERAL SPECIFICATIONS,Rear Post Lights,"No",NULL,NULL,NULL,NULL,NULL,73,60,NULL
13069827,Pony Truck Box,Pony Truck Box-114,GENERAL SPECIFICATIONS,Extruded Rubber with Longitude,"Included",NULL,NULL,NULL,NULL,NULL,73,220,NULL
13069828,Pony Truck Box,Pony Truck Box-117,GENERAL SPECIFICATIONS,Jug Holder,"No",NULL,NULL,NULL,NULL,NULL,73,230,NULL
