QuoteNo, QuoteModel, QuoteWeek, Dealer, Base, Gross, Total, n_options, US
25541, 53ET4XP, 2, NorthEast Truck & Trailer Sales, $75803, $84308, $83465, 8, 0
25542, 30ANR, 3, NorthEast Truck & Trailer Sales, $28828.4466, $42431, $42007, 5, 0
25543, 53ET3X MR WEST, 3, Diamond International Trucks Ltd., $45674.9922, $56461, $55896, 11, 0
25544, 30NTT, 3, Trailers Plus, $27657, $34490, $34490, 6, 0
25545, 51LF4X5T V2018, 3, DH Agro Ltd., $70577.7069, $70578, $70578, 0, 0
25547, 48ET3X, 3, Fort Garry Industries Ltd., $43458.5409, $61169, $60557, 17, 0
25548, 30NTT, 3, Remorques Lewis Inc., $27657, $43149, $42077, 7, 0
25549, 25NTT, 3, Remorques Lewis Inc., $27227, $34027, $33181, 4, 0
25552, 30NTT, 3, Remorques Lewis Inc., $27657, $34469, $33612, 4, 0
25555, 48ET3X, 3, Diamond International Trucks Ltd., $43458.5409, $59980, $59380, 13, 0
25556, 53ET3X, 3, Diamond International Trucks Ltd., $45047.7666, $62459, $61835, 13, 0
25557, 53ET3XP, 3, Diamond International Trucks Ltd., $57411.3922, $64887, $64238, 10, 0
25558, 53ET3XP, 3, Diamond International Trucks Ltd., $57411.3922, $77492, $76717, 15, 0
25559, 53HD3X V2018, 3, Diamond International Trucks Ltd., $40552.5331, $46118, $45657, 9, 0
25560, 53HF3X V2018, 3, Diamond International Trucks Ltd., $40374.7541, $46172, $45710, 9, 0
25568, 30ART, 3, NorthEast Truck & Trailer Sales, $31667, $37858, $37480, 3, 0
25570, 35ADG2X48 AGULP, 3, S & S Trailers Sales Inc, $55235.2816, $65746, $65746, 10, 1
25571, 35ADG2X48 AGULP, 3, S & S Trailers Sales Inc, $55235.2816, $64073, $64073, 10, 1
25573, 35HDG2X48 AGULP, 3, S & S Trailers Sales Inc, $68541.8257, $77443, $77443, 10, 1
25579, 55HDG3X, 3, Remorques Lewis Inc., $74898, $74752, $74004, 5, 0
25590, 20NTT, 3, Remorques Lewis Inc., $21771, $28344, $27639, 3, 0
25593, 55HDG3X, 4, Remorques Lewis Inc., $74898, $93698, $92761, 8, 0
25594, 55HDG3X, 4, Remorques Lewis Inc., $74898, $76259, $75496, 3, 0
25597, 25ART, 4, Wieland Sales Inc., $26191, $31233, $28422, 6, 1
25598, 25NTT, 4, Remorques Lewis Inc., $27227, $30550, $30245, 4, 0
25601, 55HDG3X H, 4, Remorques Lewis Inc., $82700, $90241, $89339, 7, 0
