In / Out |  InTime                   |  RoundedTime
-------- |  -----------------------  |  -----------------------
In       |  2021-10-27 07:47:00.000  |  2021-10-27 08:00:00.000
In       |  2021-10-27 07:48:00.000  |  2021-10-27 08:00:00.000
In       |  2021-10-27 07:53:00.000  |  2021-10-27 08:00:00.000
In       |  2021-10-27 08:02:00.000  |  2021-10-27 08:00:00.000
In       |  2021-10-27 08:03:00.000  |  2021-10-27 08:15:00.000 
In       |  2021-10-27 08:47:00.000  |  2021-10-27 08:45:00.000
In       |  2021-10-27 08:51:00.000  |  2021-10-27 09:00:00.000
In       |  2021-10-27 09:02:00.000  |  2021-10-27 09:00:00.000
In       |  2021-10-27 09:03:00.000  |  2021-10-27 09:15:00.000
Out      |  2021-10-27 16:00:00.000  |  2021-10-27 16:00:00.000
Out      |  2021-10-27 16:14:00.000  |  2021-10-27 16:15:00.000
Out      |  2021-10-27 16:18:00.000  |  2021-10-27 16:15:00.000
Out      |  2021-10-27 16:27:00.000  |  2021-10-27 16:15:00.000
Out      |  2021-10-27 16:28:00.000  |  2021-10-27 16:30:00.000
Out      |  2021-10-27 16:29:00.000  |  2021-10-27 16:30:00.000
Out      |  2021-10-27 16:31:00.000  |  2021-10-27 16:30:00.000
Out      |  2021-10-27 16:35:00.000  |  2021-10-27 16:30:00.000
