Class,SpecGroup,SpecSortG
Cable Reel,DECK,19
Chassis,TRAILER,1
Chassis,STRUCTURE,16
Chassis,DECK,19
Chassis,CHASSIS,28
Chassis,SUSPENSION/AXLES,40
Chassis,BEAVERTAIL,43
Chassis,RAMPS,46
Chassis,GENERAL SPECIFICATIONS,73
Container Chassis,TRAILER,1
Container Chassis,GOOSENECK,7
Container Chassis,DECK,19
Container Chassis,REAR SECTION,20
Container Chassis,LOAD SECUREMENT,21
Container Chassis,SUSPENSION/AXLES,40
Container Chassis,GENERAL SPECIFICATIONS,73
Converters/Boosters,SUSPENSION/AXLES,40
DUMP,TRAILER,1
DUMP,COUPLER,10
DUMP,STRUCTURE,16
DUMP,DECK,19
DUMP,CHASSIS,28
DUMP,SUSPENSION/AXLES,40
DUMP,GENERAL SPECIFICATIONS,73
End Dumps,TRAILER,1
End Dumps,COUPLER,10
End Dumps,STRUCTURE,16
End Dumps,DECK,19
End Dumps,CHASSIS,28
End Dumps,BODY,34
End Dumps,SUSPENSION/AXLES,40
End Dumps,,73
End Dumps,GENERAL SPECIFICATIONS,73
Equipment,TRAILER,1
Equipment,GOOSENECK,7
Equipment,DECK,19
Equipment,SUSPENSION/AXLES,40
Equipment,BEAVERTAIL,43
Equipment,RAMPS,46
Equipment,GENERAL SPECIFICATIONS,73
Highway,TRAILER,1
Highway,GOOSENECK,7
Highway,DECK,19
Highway,REAR SECTION,20
Highway,SUSPENSION/AXLES,40
Highway,BEAVERTAIL,43
Highway,GENERAL SPECIFICATIONS,73
Hydraulics,TRAILER,1
Hydraulics,GOOSENECK,7
Hydraulics,DECK,19
Hydraulics,REAR BRIDGE,20
Hydraulics,REAR SECTION,20
Hydraulics,REAR,21
Hydraulics,SUSPENSION/AXLES,40
Hydraulics,RAMPS,46
Hydraulics,REAR SECTION,67
Hydraulics,GENERAL SPECIFICATIONS,73
Jeep Dolly,TRAILER,1
Jeep Dolly,STRUCTURE,16
Jeep Dolly,SUSPENSION/AXLES,40
Jeep Dolly,GENERAL SPECIFICATIONS,73
Log,TRAILER,1
Log,DECK,19
Log,SUSPENSION/AXLES,40
Log,GENERAL SPECIFICATIONS,73
Log Eastern,TRAILER,1
Log Eastern,GOOSENECK,7
Log Eastern,COUPLER,10
Log Eastern,DECK,19
Log Eastern,SUSPENSION/AXLES,40
Log Eastern,GENERAL SPECIFICATIONS,73
Log US,TRAILER,1
Log US,GOOSENECK,7
Log US,COUPLER,10
Log US,DECK,19
Log US,SUSPENSION/AXLES,40
Log US,GENERAL SPECIFICATIONS,73
Log Western,TRAILER,1
Log Western,COUPLER,10
Log Western,DECK,19
Log Western,SUSPENSION/AXLES,40
Log Western,GENERAL SPECIFICATIONS,73
Machinery,TRAILER,1
Machinery,GOOSENECK,7
Machinery,DECK,19
Machinery,LOAD SECUREMENT,21
Machinery,REAR,21
Machinery,SUSPENSION/AXLES,40
Machinery,RAMPS,46
Machinery,GENERAL SPECIFICATIONS,73
Nuclear,DECK,19
Nuclear,SUSPENSION/AXLES,40
Nuclear,GENERAL SPECIFICATIONS,73
Oilfield,TRAILER,1
Oilfield,GOOSENECK,7
Oilfield,DECK,19
Oilfield,SUSPENSION/AXLES,40
Oilfield,GENERAL SPECIFICATIONS,73
Paving & Recovery,TRAILER,1
Paving & Recovery,GOOSENECK,7
Paving & Recovery,DECK,19
Paving & Recovery,SUSPENSION/AXLES,40
Paving & Recovery,BEAVERTAIL,43
Paving & Recovery,RAMPS,46
Paving & Recovery,GENERAL SPECIFICATIONS,73
Snow & Ice Control,BODY,34
Snow & Ice Control,BODY,35
Snow & Ice Control,SHIP LOOSE PARTS,37
Snow & Ice Control,Included Parts,38
Snow & Ice Control,Over all,500
Snow & Ice Control,Truck,510
Snow & Ice Control,Body,520
Snow & Ice Control,Plow,530
Snow & Ice Control,Controls,540
Snow & Ice Control,Hydraulic,550
Snow & Ice Control,Lights,560
Snow & Ice Control,General,570
Snow & Ice Control,Warranty,580
Stargate,TRAILER,1
Stargate,STRUCTURE,16
Stargate,CONVEYOR,17
Stargate,DECK,19
Stargate,CHASSIS,28
Stargate,BODY,34
Stargate,STRUCTURE,34
Stargate,SUSPENSION/AXLES,40
Stargate,GENERAL SPECIFICATIONS,73
Tags,TRAILER,1
Tags,DECK,19
Tags,SUSPENSION/AXLES,40
Tags,BEAVERTAIL,43
Tags,RAMPS,46
Tags,GENERAL SPECIFICATIONS,73
